Component,CH3,CH2,Vtot,A_meas,A_pred,A_resid,B_meas,B_pred,B_resid,C_meas,C_pred,C_resid,D_meas,D_pred_group,D_resid_group,D_pred_scalar,D_resid_scalar
Butane,2,2,5298.547393410429,-0.279598938,-0.30067100394897966,0.021072065948979646,0.565056929,0.6416091339781294,-0.07655220497812931,-0.011750508,-0.029176542112244897,0.017426034112244897,0.002018378,0.0029341063979591835,-0.0009157283979591836,0.000532467004484305,0.001485910995515695
Pentane,2,3,6928.785202184635,-0.321662122,-0.2903389184387756,-0.03132320356122442,0.648980086,0.5788575690261115,0.0701225169738885,-0.042975411,-0.026758160151360542,-0.016217250848639456,0.003885611,0.0026758448775510203,0.00120976612244898,0.0006655837556053812,0.003220027244394619
Hexane,2,4,8559.023010958843,-0.276333909,-0.2800068329285714,0.0036729239285714366,0.557322309,0.5400105954307348,0.017311713569265197,-0.023478038,-0.02433977819047619,0.0008617401904761901,0.002320333,0.002417583357142857,-9.725035714285707e-5,0.0007987005067264575,0.0015216324932735424
Heptane,2,5,10189.260819733048,-0.246267543,-0.2696747474183674,0.023407204418367383,0.496783085,0.513594318474115,-0.01681123347411495,-0.013712748,-0.021921396229591834,0.008208648229591834,0.00161308,0.0021593218367346938,-0.0005462418367346937,0.0009318172578475337,0.0006812627421524663
Octane,2,6,11819.498628507254,-0.254784612,-0.25934266190816324,0.00455804990816322,0.513541566,0.49446512108242113,0.019076444917578872,-0.020666875,-0.01950301426870748,-0.0011638607312925223,0.001932771,0.0019010603163265305,3.1710683673469514e-5,0.00106493400896861,0.0008678369910313901
Nonane,2,7,13449.73643728146,-0.284855489,-0.24901057639795915,-0.03584491260204087,0.573185938,0.47997321022565176,0.09321272777434819,-0.035148874,-0.017084632307823127,-0.01806424169217687,0.002572649,0.0016427987959183672,0.000929850204081633,0.0011980507600896863,0.001374598239910314
Decane,2,8,15079.974246055668,-0.236569607,-0.23867849088775506,0.0021088838877550697,0.476325285,0.46861462846011337,0.007710656539886618,-0.015137594,-0.014666250346938772,-0.00047134365306122916,0.001296064,0.001384537275510204,-8.8473275510204e-5,0.0013311675112107624,-3.5103511210762394e-5
Undecane,2,9,16710.212054829874,-0.23014084,-0.22834640537755097,-0.0017944346224490482,0.463055112,0.4594723189222973,0.003582793077702706,-0.01206577,-0.012247868386054416,0.0001820983860544162,0.000935132,0.0011262757551020407,-0.00019114375510204075,0.0014642842623318387,-0.0005291522623318387
Dodecane,2,10,18340.44986360408,-0.204248013,-0.21801431986734687,0.013766306867346867,0.411175427,0.45195528453082756,-0.04077985753082758,-0.003714421,-0.009829486425170064,0.006115065425170064,0.000441493,0.0008680142346938775,-0.00042652123469387747,0.001597401013452915,-0.001155908013452915
Hexadecane,2,14,24861.401098700906,-0.176308862,-0.17668597782653048,0.0003771158265304664,0.354871887,0.4317454438695995,-0.07687355686959951,0.002967152,-0.00015595858163264947,0.0031231105816326493,-7.1e-5,-0.00016503184693877557,9.403184693877556e-5,0.00212986801793722,-0.0022008680179372198
