Substance,Temperature Range/K,Pressure Range/Pa,Number of Data Points,AAD%,Weighting,,,,,,Substance,Temperature Range/K,Pressure Range/Pa,Number of Data Points,AAD%,Weighting
Butane,140.0 - 443.0,689473.3 - 6.92e7,347,0.046042666,0.8,,,,,,"2,6,10,14-tetramethylpentadecane",298.15 - 363.15,100000.0 - 1.0e8,30,0.186923972,0.15
Pentane,293.21 - 465.15,98066.5 - 7.03e7,600,0.017333335,1,,,,,,2-methylpropane,120.0 - 360.93,414500.0 - 3.45e7,139,0.109137257,0.35
Hexane,178.15 - 498.15,100000.0 - 6.585e7,367,0.028433424,1,,,,,,2-methylbutane,288.15 - 453.15,98066.5 - 5.88e7,154,0.022528496,0.45
Heptane,290.65 - 540.15,100000.0 - 1.4e8,290,0.02826301,0,,,,,,2-methylpentane,283.14 - 343.17,1.0e6 - 3.0e7,49,0.045016214,0.55
Octane,296.15 - 583.1,98066.5 - 2.53e8,453,0.028434761,1,,,,,,squalane,303.15 - 473.07,100000 - 202090000,170,0.050600658,0.5
Nonane,293.15 - 463.15,98000 - 245000000,289,0.031976088,0,,,,,,"3,5-dimethylheptane",283.15 - 363.15,100000 - 100000,9,0.067131888,0.3
Decane,292.15 - 598.5,100000.0 - 5.515786e7,358,0.030644382,1,,,,,,2-methyloctane,283.15 - 373.15,100000 - 100000,10,0.035849481,0.3
Undecane,288.7034 - 520.15,101325 - 62420000,231,0.017964593,1,,,,,,4-methyloctane,283.15 - 373.15,100000 - 100000,10,0.108220038,0.3
Dodecane,293.15 - 693.2,100000.0 - 1.4e8,354,0.019938117,1,,,,,,"3,6-dimethyloctane",283.15 - 373.15,100000 - 100000,10,0.025718749,0.3
Tridecane,293.15 - 492.65,98000 - 245170000,250,0.028513418,1,,,,,,2-methylnonane,283.15 - 373.15,100000 - 100000,10,0.02744185,0.3
Tetradecane,298.15 - 524.45,98000.0 - 6.0e7,167,0.035047711,0,,,,,,2-methyldecane,283.15 - 373.15,100000 - 100000,10,0.01979996,0.3
Pentadecane,293.15 - 515.75,98000.0 - 3.2e8,204,0.026778296,1,,,,,,3-methylundecane,283.15 - 373.15,100000 - 100000,10,0.032623164,0.3
Hexadecane,298.36 - 533.7,100000.0 - 2.266e8,241,0.044160933,1,,,,,,2-methylpentadecane,283.15 - 373.15,100000 - 100000,10,0.009861167,0.3
Heptadecane,303.26 - 358.19,130000 - 69140000,582,0.014547996,1,,,,,,7-methylhexadecane,283.15 - 373.15,100000 - 100000,10,0.087681346,0.3
n-eicosane,325.8 - 533.8,98000 - 243100000,61,0.036555892,0.8,,,,,,"2,2,4-trimethylpentane",197.93 - 548.15,98066.0 - 1.4e8,345,0.038452817,0.3
"2,6,10,14-tetramethylpentadecane",298.15 - 363.15,100000.0 - 1.0e8,30,0.186923972,0.15,,,,,,heptamethylnonane,293.15 - 453.15,100000.0 - 1.95e8,90,0.080025334,0.4
2-methylpropane,120.0 - 360.93,414500.0 - 3.45e7,139,0.109137257,0.35,,,,,,"2,2,4-trimethylhexane",293.15 - 293.15,100000 - 900000000,13,0.160053188,0.1
2-methylbutane,288.15 - 453.15,98066.5 - 5.88e7,154,0.022528496,0.45,,,,,,,,,,,
2-methylpentane,283.14 - 343.17,1.0e6 - 3.0e7,49,0.045016214,0.55,,,,,,,,,,,
squalane,303.15 - 473.07,100000 - 202090000,170,0.050600658,0.5,,,,,,,,,,,
"3,5-dimethylheptane",283.15 - 363.15,100000 - 100000,9,0.067131888,0.3,,,,,,,,,,,
2-methyloctane,283.15 - 373.15,100000 - 100000,10,0.035849481,0.3,,,,,,,,,,,
4-methyloctane,283.15 - 373.15,100000 - 100000,10,0.108220038,0.3,,,,,,,,,,,
"3,6-dimethyloctane",283.15 - 373.15,100000 - 100000,10,0.025718749,0.3,,,,,,,,,,,
2-methylnonane,283.15 - 373.15,100000 - 100000,10,0.02744185,0.3,,,,,,,,,,,
2-methyldecane,283.15 - 373.15,100000 - 100000,10,0.01979996,0.3,,,,,,,,,,,
3-methylundecane,283.15 - 373.15,100000 - 100000,10,0.032623164,0.3,,,,,,,,,,,
2-methylpentadecane,283.15 - 373.15,100000 - 100000,10,0.009861167,0.3,,,,,,,,,,,
7-methylhexadecane,283.15 - 373.15,100000 - 100000,10,0.087681346,0.3,,,,,,,,,,,
"2,2,4-trimethylpentane",197.93 - 548.15,98066.0 - 1.4e8,345,0.038452817,0.3,,,,,,,,,,,
heptamethylnonane,293.15 - 453.15,100000.0 - 1.95e8,90,0.080025334,0.4,,,,,,,,,,,
"2,2,4-trimethylhexane",293.15 - 293.15,100000 - 900000000,13,0.160053188,0.1,,,,,,,,,,,
