p,T,viscosity
100000,298.15,0.001344
100000,298.15,0.001343
100000,323.15,0.000911
100000,323.15,0.00091
100000,348.15,0.000659
100000,348.15,0.000659
100000,373.15,0.000503
100000,373.15,0.000503
100000,398.15,0.000401
100000,398.15,0.000401
100000,423.15,0.000324
100000,423.15,0.000323
100000,448.15,0.000264
100000,448.15,0.000264
100000,473.15,0.000218
100000,473.15,0.000218
100000,288.15,0.001635
100000,293.15,0.001496
100000,298.15,0.001364
100000,303.15,0.001254
100000,308.15,0.001157
100000,313.15,0.001068
100000,318.15,0.000992
100000,323.15,0.000923
100000,328.15,0.000861
100000,333.15,0.000809
100000,338.15,0.000758
100000,343.15,0.000713
100000,298.15,0.00136
100000,298.15,0.001359
100000,303.15,0.00123
100000,303.15,0.001233
100000,303.15,0.001231
100000,323.15,0.00091
100000,323.15,0.00091
100000,323.15,0.000909
100000,348.15,0.000667
100000,348.15,0.000663
100000,348.15,0.000662
100000,298.15,0.0013436
100000,323.15,0.0009092
100000,348.15,0.0006612
100000,373.15,0.0005043
100000,398.15,0.0003983
100000,423.15,0.0003215
100000,448.15,0.0002653
