p,T,viscosity
100000,293.15,0.003341
100000,298.15,0.003035
100000,298.15,0.002968
100000,303.15,0.002656
100000,308.15,0.002439
100000,308.15,0.002389
100000,313.15,0.002164
100000,318.15,0.002008
100000,318.15,0.001971
100000,323.15,0.0018
100000,293.15,0.00347
100000,303.15,0.00276
100000,313.15,0.00224
100000,323.15,0.00186
100000,333.15,0.00156
100000,343.15,0.00135
100000,353.15,0.00115
100000,363.15,0.00102
100000,293.15,0.00343
100000,303.15,0.00272
100000,313.15,0.0022
100000,323.15,0.00182
100000,333.15,0.00154
100000,343.15,0.00131
100000,298.15,0.003085
100000,303.15,0.002756
100000,308.15,0.002477
100000,313.15,0.002239
100000,318.15,0.002034
100000,323.15,0.001857
100000,300.15,0.00344
100000,317.15,0.00247
100000,335.15,0.001725
100000,354.15,0.001215
100000,373.15,0.000955
100000,392.15,0.000735
100000,293.15,0.00349
100000,303.15,0.00276
100000,313.15,0.00224
100000,323.15,0.00185
100000,333.15,0.00156
100000,298.08,770.3
100000,323.09,753.1
100000,348.11,735.9
100000,373.24,718.7
