p/pa,T/K,dynamic viscosity/ Pa s
100000,178.15,0.002209
100000,183.15,0.001891
100000,198.15,0.001265
100000,213.15,0.0009249
100000,228.15,0.0007078
100000,228.15,0.0007067
100000,243.15,0.0005657
100000,258.15,0.0004644
100000,273.15,0.0003865
100000,293.15,0.000311
100000,298.15,0.000298
100000,313.15,0.0002517
100000,323.15,0.0002337
100000,288.15,0.000326
100000,293.15,0.000309
100000,298.15,0.000294
100000,303.15,0.00028
100000,308.15,0.000266
100000,313.15,0.000254
100000,318.15,0.000242
100000,323.15,0.000231
100000,328.15,0.00022
100000,333.15,0.000211
