p,T,viscosity,x1,density
100000,293.15,0.00149,0,748.89
100000,293.15,0.00159,0.103,753.26
100000,293.15,0.00167,0.1677,756.13
100000,293.15,0.00184,0.2944,761.09
100000,293.15,0.00203,0.4191,765.49
100000,293.15,0.00219,0.5011,768.6
100000,293.15,0.0024,0.5955,771.81
100000,293.15,0.00283,0.7585,777.12
100000,293.15,0.00329,0.8985,781.52
100000,293.15,0.0037,1,784.45
100000,303.15,0.00125,0,741.63
100000,303.15,0.00132,0.103,746.09
100000,303.15,0.00139,0.1677,749.06
100000,303.15,0.00153,0.2944,754.06
100000,303.15,0.00167,0.4191,758.54
100000,303.15,0.0018,0.5011,761.7
100000,303.15,0.00195,0.5955,764.96
100000,303.15,0.00228,0.7585,770.34
100000,303.15,0.00262,0.8985,774.79
100000,303.15,0.00292,1,777.76
100000,313.15,0.00106,0,734.34
100000,313.15,0.00112,0.103,738.89
100000,313.15,0.00117,0.1677,741.92
100000,313.15,0.00128,0.2944,747.01
100000,313.15,0.0014,0.4191,751.55
100000,313.15,0.0015,0.5011,754.77
100000,313.15,0.00163,0.5955,758.08
100000,313.15,0.00188,0.7585,763.53
100000,313.15,0.00214,0.8985,768.02
100000,313.15,0.00237,1,771.04
100000,323.15,0.000916,0,727.03
100000,323.15,0.000966,0.103,731.66
100000,323.15,0.00101,0.1677,734.74
100000,323.15,0.0011,0.2944,739.92
100000,323.15,0.00119,0.4191,744.54
100000,323.15,0.00127,0.5011,747.81
100000,323.15,0.00137,0.5955,751.18
100000,323.15,0.00157,0.7585,756.7
100000,323.15,0.00177,0.8985,761.26
100000,323.15,0.00195,1,764.31
100000,333.15,0.000799,0,719.69
100000,333.15,0.00084,0.103,724.4
100000,333.15,0.000877,0.1677,727.54
100000,333.15,0.00095,0.2944,732.8
100000,333.15,0.00103,0.4191,737.5
100000,333.15,0.00109,0.5011,740.82
100000,333.15,0.00117,0.5955,744.24
100000,333.15,0.00133,0.7585,749.85
100000,333.15,0.00149,0.8985,754.48
100000,333.15,0.00163,1,757.57
100000,343.15,0.000704,0,712.2
100000,343.15,0.000738,0.103,717.1
100000,343.15,0.000769,0.1677,720.2
100000,343.15,0.00083,0.2944,725.6
100000,343.15,0.000895,0.4191,730.4
100000,343.15,0.000949,0.5011,733.7
100000,343.15,0.00101,0.5955,737.2
100000,343.15,0.00114,0.7585,743
100000,343.15,0.00127,0.8985,747.6
100000,343.15,0.00139,1,750.7
100000,353.15,0.000625,0,704.7
100000,353.15,0.000654,0.103,709.6
100000,353.15,0.000681,0.1677,712.7
100000,353.15,0.000732,0.2944,718.2
100000,353.15,0.000787,0.4191,723.1
100000,353.15,0.000832,0.5011,726.5
100000,353.15,0.000885,0.5955,730.1
100000,353.15,0.000994,0.7585,736
100000,353.15,0.0011,0.8985,740.7
100000,353.15,0.00119,1,743.8
100000,363.15,0.00056,0,697.1
100000,363.15,0.000585,0.103,702
100000,363.15,0.000608,0.1677,705.3
100000,363.15,0.000652,0.2944,710.8
100000,363.15,0.000698,0.4191,715.8
100000,363.15,0.000737,0.5011,719.2
100000,363.15,0.000782,0.5955,722.9
100000,363.15,0.000873,0.7585,728.9
100000,363.15,0.000963,0.8985,733.6
100000,363.15,0.00104,1,736.8
100000,373.15,0.000506,0,689.6
100000,373.15,0.000528,0.103,694.5
100000,373.15,0.000548,0.1677,697.8
100000,373.15,0.000586,0.2944,703.5
100000,373.15,0.000626,0.4191,708.5
100000,373.15,0.000659,0.5011,712
100000,373.15,0.000697,0.5955,715.8
100000,373.15,0.000775,0.7585,721.8
100000,373.15,0.00085,0.8985,726.6
100000,373.15,0.000914,1,729.9
