p,T,viscosity,x1,density
100000,298.15,0.0008601,0.5,721.99
26000000,298.15,0.001159,0.5,741.1
51400000,298.15,0.001505,0.5,756.2
103100000,298.15,0.002379,0.5,780.3
150000000,298.15,0.003425,0.5,798
201300000,298.15,0.004941,0.5,815
241400000,298.15,0.006482,0.5,827.6
100000,323.14,0.0006179,0.5,703.99
27900000,323.14,0.000846,0.5,726.8
52900000,323.14,0.001075,0.5,743.3
98500000,323.14,0.001563,0.5,767.2
197200000,323.14,0.003088,0.5,803.8
303200000,323.14,0.005785,0.5,832.4
397200000,323.14,0.00959,0.5,854
100000,348.03,0.0004691,0.5,684.41
26200000,348.03,0.000636,0.5,708.9
51900000,348.03,0.000814,0.5,728.2
98400000,348.03,0.001179,0.5,755.3
196600000,348.03,0.002228,0.5,794.2
304700000,348.03,0.003997,0.5,823.9
402900000,348.03,0.006398,0.5,845.7
503400000,348.03,0.01013,0.5,865.6
100000,372.85,0.0003678,0.5,663.25
25900000,372.85,0.000507,0.5,691.5
54500000,372.85,0.00066,0.5,715.2
104300000,372.85,0.000976,0.5,745.3
199200000,372.85,0.001737,0.5,783.3
297800000,372.85,0.002863,0.5,811.3
400100000,372.85,0.00453,0.5,835.6
502500000,372.85,0.006872,0.5,858.3
