p,T,viscosity,x1
100000,298.2,0.0004882,0.5
26700000,298.2,0.000639,0.5
50900000,298.2,0.000799,0.5
97500000,298.2,0.001151,0.5
200200000,298.2,0.002263,0.5
293200000,298.2,0.003879,0.5
402300000,298.2,0.006887,0.5
492300000,298.2,0.01085,0.5
100000,323.19,0.0003739,0.5
26900000,323.19,0.000506,0.5
52800000,323.19,0.000634,0.5
98300000,323.19,0.000873,0.5
198300000,323.19,0.001637,0.5
303000000,323.19,0.002821,0.5
424700000,323.19,0.004982,0.5
496800000,323.19,0.00685,0.5
100000,348.07,0.0002958,0.5
28400000,348.07,0.000403,0.5
50900000,348.07,0.000493,0.5
100800000,348.07,0.000711,0.5
197500000,348.07,0.001248,0.5
302800000,348.07,0.002073,0.5
399700000,348.07,0.003115,0.5
496200000,348.07,0.004586,0.5
100000,373.18,0.0002374,0.5
27100000,373.18,0.000328,0.5
52800000,373.18,0.000416,0.5
101300000,373.18,0.000591,0.5
199600000,373.18,0.001026,0.5
300200000,373.18,0.001619,0.5
400500000,373.18,0.002411,0.5
497500000,373.18,0.003416,0.5
