p,T,viscosity,x1,density
,298.15,0.003093,0,769.81
,298.15,0.0025724,0.1177,763.79
,298.15,0.0021986,0.2071,758.28
,298.15,0.0018346,0.3082,751.2
,298.15,0.0015304,0.4013,743.82
,298.15,0.0012411,0.4982,735.03
,298.15,0.0009821,0.6029,723.78
,298.15,0.0007606,0.7034,710.61
,298.15,0.0005679,0.8025,694.47
,298.15,0.0003949,0.9006,674.39
,298.15,0.0002753,1,648.54
,298.15,0.002394337,0.1527,761.8
,298.15,0.001532054,0.396,744.8
,298.15,0.001057779,0.5684,729
,298.15,0.000579832,0.7887,697.5
,298.15,0.000414433,0.8904,677.4
