p,T,viscosity,x1,density
100000,273.15,0.000705,0,719
100000,273.15,0.00417,0.238,770
100000,273.15,0.022,0.543,800
100000,273.15,0.042,0.709,809
100000,273.15,0.1166,1,819
10000000,273.15,0.000793,0,726
10000000,273.15,0.0048,0.238,777
10000000,273.15,0.0276,0.543,809
10000000,273.15,0.0542,0.709,817
10000000,273.15,0.1524,1,824
20000000,273.15,0.000871,0,733
20000000,273.15,0.00555,0.238,783
20000000,273.15,0.0339,0.543,811
20000000,273.15,0.0677,0.709,820
20000000,273.15,0.1994,1,830
30000000,273.15,0.000971,0,739
30000000,273.15,0.00637,0.238,788
30000000,273.15,0.0414,0.543,817
30000000,273.15,0.0845,0.709,824
30000000,273.15,0.2614,1,835
100000,293.15,0.000544,0,703
100000,293.15,0.00243,0.238,755
100000,293.15,0.00743,0.492,782
100000,293.15,0.0156,0.709,798
100000,293.15,0.0353,1,809
10000000,293.15,0.000596,0,711
10000000,293.15,0.00282,0.238,761
10000000,293.15,0.00882,0.492,790
10000000,293.15,0.0191,0.709,802
10000000,293.15,0.0436,1,814
20000000,293.15,0.000659,0,718
20000000,293.15,0.00321,0.238,768
20000000,293.15,0.0104,0.492,796
20000000,293.15,0.0238,0.709,808
20000000,293.15,0.054,1,819
30000000,293.15,0.000717,0,725
30000000,293.15,0.00364,0.238,774
30000000,293.15,0.0123,0.492,800
30000000,293.15,0.0295,0.709,814
30000000,293.15,0.0656,1,823
100000,313.15,0.000429,0,687
100000,313.15,0.0016,0.238,743
100000,313.15,0.00427,0.492,770
100000,313.15,0.00768,0.709,788
100000,313.15,0.0154,1,795
10000000,313.15,0.000483,0,696
10000000,313.15,0.00186,0.238,749
10000000,313.15,0.00483,0.492,778
10000000,313.15,0.00955,0.709,792
10000000,313.15,0.0183,1,800
20000000,313.15,0.000536,0,704
20000000,313.15,0.00216,0.238,756
20000000,313.15,0.00556,0.492,783
20000000,313.15,0.0116,0.709,797
20000000,313.15,0.0227,1,806
30000000,313.15,0.000593,0,712
30000000,313.15,0.00244,0.238,762
30000000,313.15,0.00649,0.492,789
30000000,313.15,0.0135,0.709,803
30000000,313.15,0.0275,1,812
100000,333.15,0.000351,0,670
100000,333.15,0.00125,0.238,731
100000,333.15,0.00278,0.492,754
100000,333.15,0.00445,0.709,770
100000,333.15,0.00785,1,782
10000000,333.15,0.000388,0,681
10000000,333.15,0.00145,0.238,739
10000000,333.15,0.00318,0.492,763
10000000,333.15,0.00543,0.709,780
10000000,333.15,0.00943,1,789
20000000,333.15,0.000441,0,690
20000000,333.15,0.00165,0.238,747
20000000,333.15,0.00362,0.492,771
20000000,333.15,0.00631,0.709,787
20000000,333.15,0.011,1,795
30000000,333.15,0.000482,0,698
30000000,333.15,0.00185,0.238,754
30000000,333.15,0.00407,0.492,779
30000000,333.15,0.00738,0.709,792
30000000,333.15,0.0131,1,802
