p,T,viscosity,x1
9806600,313.15,0.0025,0.2
9806600,333.15,0.00179,0.2
9806600,341.65,0.00147,0.2
29420000,313.15,0.00318,0.2
29420000,333.15,0.0022,0.2
29420000,353.15,0.00154,0.2
49033000,313.15,0.00392,0.2
49033000,333.15,0.0027,0.2
49033000,341.65,0.00245,0.2
49033000,353.15,0.00201,0.2
68647000,313.15,0.00477,0.2
68647000,333.15,0.00333,0.2
68647000,341.65,0.00298,0.2
68647000,353.15,0.0026,0.2
98066000,313.15,0.00636,0.2
98066000,333.15,0.00427,0.2
98066000,341.65,0.004,0.2
98066000,353.15,0.00314,0.2
117680000,333.15,0.0049,0.2
117680000,341.65,0.00475,0.2
117680000,353.15,0.00368,0.2
147100000,333.15,0.00633,0.2
147100000,341.65,0.006,0.2
147100000,353.15,0.00422,0.2
