p,T,viscosity,x1
101320,293.2,0.0004084,0
101320,293.2,0.0009382,0.2
101320,303.2,0.0003725,0
101320,303.2,0.0008194,0.2
101320,303.2,0.001567,0.4
101320,303.2,0.00202,0.499
101320,313.2,0.0003447,0
101320,313.2,0.0007187,0.2
101320,313.2,0.001327,0.4
101320,313.2,0.001705,0.499
101320,313.2,0.002145,0.597
101320,313.2,0.002989,0.796
101320,313.2,0.00401,1
101320,323.2,0.0003182,0
101320,323.2,0.0006384,0.2
101320,323.2,0.001142,0.4
101320,323.2,0.001452,0.499
101320,323.2,0.001812,0.597
101320,323.2,0.002456,0.796
101320,323.2,0.003195,1
101320,333.1,0.0005737,0.2
101320,333.1,0.0009891,0.4
101320,333.1,0.001259,0.499
101320,333.1,0.001539,0.597
101320,333.1,0.002058,0.796
101320,333.1,0.002611,1
101320,343.1,0.0005184,0.2
101320,343.1,0.0008693,0.4
101320,343.1,0.001107,0.499
101320,343.1,0.001337,0.597
101320,343.1,0.00176,0.796
101320,343.1,0.002171,1
