p,T,viscosity,x1,density
100000,288.15,0.001635,0,752.31
100000,288.15,0.001418,0.0986,747.46
100000,288.15,0.001239,0.2024,741.73
100000,288.15,0.001086,0.2991,735.84
100000,288.15,0.000932,0.4003,728.96
100000,288.15,0.0008,0.5036,721.1
100000,288.15,0.000678,0.6025,712.68
100000,288.15,0.000572,0.7016,703.02
100000,288.15,0.00048,0.8003,691.97
100000,288.15,0.000399,0.899,679.24
100000,288.15,0.000326,1,663.95
100000,293.15,0.001496,0,748.66
100000,293.15,0.001294,0.0986,743.79
100000,293.15,0.001137,0.2024,738.01
100000,293.15,0.001003,0.2991,732.07
100000,293.15,0.000864,0.4003,725.14
100000,293.15,0.000746,0.5036,717.2
100000,293.15,0.000635,0.6025,708.69
100000,293.15,0.000538,0.7016,698.95
100000,293.15,0.000453,0.8003,687.78
100000,293.15,0.000382,0.899,674.92
100000,293.15,0.000309,1,659.52
100000,298.15,0.001364,0,745.03
100000,298.15,0.001188,0.0986,740.11
100000,298.15,0.001049,0.2024,734.28
100000,298.15,0.000929,0.2991,728.29
100000,298.15,0.000803,0.4003,721.3
100000,298.15,0.000697,0.5036,713.3
100000,298.15,0.000596,0.6025,704.66
100000,298.15,0.000508,0.7016,694.86
100000,298.15,0.000429,0.8003,683.57
100000,298.15,0.000363,0.899,670.56
100000,298.15,0.000294,1,654.98
100000,303.15,0.001254,0,741.38
100000,303.15,0.001095,0.0986,736.43
100000,303.15,0.000971,0.2024,730.56
100000,303.15,0.000864,0.2991,724.51
100000,303.15,0.00075,0.4003,717.46
100000,303.15,0.000653,0.5036,709.37
100000,303.15,0.000561,0.6025,700.65
100000,303.15,0.000479,0.7016,690.75
100000,303.15,0.000407,0.8003,679.34
100000,303.15,0.000352,0.899,666.2
100000,303.15,0.00028,1,650.44
100000,308.15,0.001157,0,737.75
100000,308.15,0.001013,0.0986,732.75
100000,308.15,0.000902,0.2024,726.82
100000,308.15,0.000805,0.2991,720.72
100000,308.15,0.000702,0.4003,713.6
100000,308.15,0.000613,0.5036,705.44
100000,308.15,0.000529,0.6025,696.63
100000,308.15,0.000453,0.7016,686.62
100000,308.15,0.000388,0.8003,675.09
100000,308.15,0.000334,0.899,661.79
100000,308.15,0.000266,1,645.84
100000,313.15,0.001068,0,734.11
100000,313.15,0.000941,0.0986,729.06
100000,313.15,0.000841,0.2024,723.08
100000,313.15,0.000753,0.2991,716.93
100000,313.15,0.000658,0.4003,709.75
100000,313.15,0.000578,0.5036,701.5
100000,313.15,0.0005,0.6025,692.61
100000,313.15,0.00043,0.7016,682.48
100000,313.15,0.00037,0.8003,670.83
100000,313.15,0.000317,0.899,657.39
100000,313.15,0.000254,1,641.19
100000,318.15,0.000992,0,730.47
100000,318.15,0.000876,0.0986,725.37
100000,318.15,0.000786,0.2024,719.34
100000,318.15,0.000706,0.2991,713.12
100000,318.15,0.000619,0.4003,705.88
100000,318.15,0.000545,0.5036,697.53
100000,318.15,0.000474,0.6025,688.55
100000,318.15,0.000409,0.7016,678.32
100000,318.15,0.000359,0.8003,666.52
100000,318.15,0.000302,0.899,652.91
100000,318.15,0.000242,1,636.5
100000,323.15,0.000923,0,726.83
100000,323.15,0.000819,0.0986,721.67
100000,323.15,0.000736,0.2024,715.59
100000,323.15,0.000663,0.2991,709.31
100000,323.15,0.000584,0.4003,702
100000,323.15,0.000515,0.5036,693.56
100000,323.15,0.00045,0.6025,684.47
100000,323.15,0.000389,0.7016,674.16
100000,323.15,0.000342,0.8003,662.22
100000,323.15,0.000287,0.899,648.42
100000,323.15,0.000231,1,631.78
100000,328.15,0.000861,0,723.17
100000,328.15,0.000767,0.0986,717.97
100000,328.15,0.000692,0.2024,711.82
100000,328.15,0.000626,0.2991,705.48
100000,328.15,0.000552,0.4003,698.09
100000,328.15,0.000488,0.5036,689.56
100000,328.15,0.000428,0.6025,680.38
100000,328.15,0.000371,0.7016,669.95
100000,328.15,0.000325,0.8003,657.87
