p,T,viscosity,x1
101000,297.95,0.0002443,0.8946
4995000,297.95,0.0002567,0.8946
9913000,297.95,0.0002692,0.8946
14815000,297.95,0.000281,0.8946
21696000,297.95,0.000292,0.8946
24626000,297.95,0.0003038,0.8946
4995000,313.05,0.0002276,0.8946
9913000,313.05,0.000242,0.8946
14815000,313.05,0.0002494,0.8946
21696000,313.05,0.0002602,0.8946
24626000,313.05,0.0002754,0.8946
4995000,328.05,0.0002028,0.8946
9913000,328.05,0.0002132,0.8946
14815000,328.05,0.0002227,0.8946
21696000,328.05,0.0002363,0.8946
24626000,328.05,0.0002464,0.8946
4995000,343.15,0.0001801,0.8946
9913000,343.15,0.000191,0.8946
14815000,343.15,0.0002018,0.8946
21696000,343.15,0.0002091,0.8946
24626000,343.15,0.0002205,0.8946
4995000,358.15,0.0001637,0.8946
9913000,358.15,0.0001728,0.8946
14815000,358.15,0.0001817,0.8946
21696000,358.15,0.0001916,0.8946
24626000,358.15,0.0002012,0.8946
4995000,373.15,0.0001487,0.8946
9913000,373.15,0.000158,0.8946
14815000,373.15,0.0001661,0.8946
21696000,373.15,0.0001766,0.8946
24626000,373.15,0.0001844,0.8946
101000,297.95,0.0002723,0.8097
4995000,297.95,0.0002844,0.8097
9913000,297.95,0.0002987,0.8097
14815000,297.95,0.0003129,0.8097
21696000,297.95,0.0003266,0.8097
24626000,297.95,0.0003378,0.8097
4995000,313.05,0.0002506,0.8097
9913000,313.05,0.0002617,0.8097
14815000,313.05,0.0002725,0.8097
21696000,313.05,0.0002885,0.8097
24626000,313.05,0.0003024,0.8097
4995000,328.05,0.0002236,0.8097
9913000,328.05,0.0002335,0.8097
14815000,328.05,0.0002462,0.8097
21696000,328.05,0.0002577,0.8097
24626000,328.05,0.0002669,0.8097
4995000,343.15,0.0001983,0.8097
9913000,343.15,0.0002101,0.8097
14815000,343.15,0.0002208,0.8097
21696000,343.15,0.0002296,0.8097
24626000,343.15,0.0002399,0.8097
4995000,358.15,0.0001778,0.8097
9913000,358.15,0.0001886,0.8097
14815000,358.15,0.0001974,0.8097
21696000,358.15,0.0002103,0.8097
24626000,358.15,0.0002188,0.8097
4995000,373.15,0.000161,0.8097
9913000,373.15,0.0001732,0.8097
14815000,373.15,0.0001821,0.8097
21696000,373.15,0.0001927,0.8097
24626000,373.15,0.0002005,0.8097
101000,297.95,0.0002978,0.7095
4995000,297.95,0.0003148,0.7095
9913000,297.95,0.0003306,0.7095
14815000,297.95,0.0003422,0.7095
21696000,297.95,0.0003611,0.7095
24626000,297.95,0.0003711,0.7095
101000,313.05,0.0002604,0.7095
4995000,313.05,0.0002846,0.7095
9913000,313.05,0.0002981,0.7095
14815000,313.05,0.0003121,0.7095
21696000,313.05,0.0003294,0.7095
24626000,313.05,0.0003418,0.7095
4995000,328.05,0.0002482,0.7095
9913000,328.05,0.0002631,0.7095
14815000,328.05,0.0002728,0.7095
