p,T,viscosity,x1,density
100000,273.15,0.000382,0,678
100000,273.15,0.00334,0.235,745
100000,273.15,0.0169,0.511,792
100000,273.15,0.0453,0.743,810
100000,273.15,0.1166,1,819
10000000,273.15,0.000421,0,686
10000000,273.15,0.00388,0.235,751
10000000,273.15,0.0209,0.511,797
10000000,273.15,0.0585,0.743,816
10000000,273.15,0.1524,1,824
20000000,273.15,0.000456,0,693
20000000,273.15,0.00443,0.235,755
20000000,273.15,0.026,0.511,799
20000000,273.15,0.077,0.743,818
20000000,273.15,0.1994,1,830
30000000,273.15,0.000492,0,700
30000000,273.15,0.00516,0.235,761
30000000,273.15,0.0331,0.511,804
30000000,273.15,0.0971,0.743,824
30000000,273.15,0.2614,1,835
100000,293.15,0.00031,0,660
100000,293.15,0.00191,0.235,731
100000,293.15,0.00776,0.511,778
100000,293.15,0.0175,0.743,797
100000,293.15,0.0353,1,809
10000000,293.15,0.00034,0,670
10000000,293.15,0.00226,0.235,738
10000000,293.15,0.00951,0.511,783
10000000,293.15,0.0212,0.743,803
10000000,293.15,0.0436,1,814
20000000,293.15,0.000375,0,678
20000000,293.15,0.00266,0.235,743
20000000,293.15,0.0116,0.511,787
20000000,293.15,0.0258,0.743,807
20000000,293.15,0.054,1,819
30000000,293.15,0.000407,0,685
30000000,293.15,0.00309,0.235,749
30000000,293.15,0.0142,0.511,792
30000000,293.15,0.0311,0.743,813
30000000,293.15,0.0656,1,823
100000,313.15,0.000257,0,642
100000,313.15,0.00136,0.235,717
100000,313.15,0.00415,0.511,764
100000,313.15,0.00825,0.743,784
100000,313.15,0.0154,1,795
10000000,313.15,0.000287,0,653
10000000,313.15,0.00158,0.235,725
10000000,313.15,0.00509,0.511,770
10000000,313.15,0.0101,0.743,790
10000000,313.15,0.0183,1,800
20000000,313.15,0.000317,0,662
20000000,313.15,0.00183,0.235,731
20000000,313.15,0.00596,0.511,775
20000000,313.15,0.0123,0.743,796
20000000,313.15,0.0227,1,806
30000000,313.15,0.000351,0,671
30000000,313.15,0.00209,0.235,737
30000000,313.15,0.00695,0.511,781
30000000,313.15,0.0147,0.743,802
30000000,313.15,0.0275,1,812
100000,333.15,0.000218,0,623
100000,333.15,0.000996,0.235,703
100000,333.15,0.00262,0.511,750
100000,333.15,0.00464,0.743,771
100000,333.15,0.00785,1,782
10000000,333.15,0.000241,0,636
10000000,333.15,0.00118,0.235,712
10000000,333.15,0.00312,0.511,757
10000000,333.15,0.00563,0.743,778
10000000,333.15,0.00943,1,789
20000000,333.15,0.000266,0,647
20000000,333.15,0.00132,0.235,719
20000000,333.15,0.0036,0.511,763
20000000,333.15,0.00666,0.743,785
20000000,333.15,0.011,1,795
30000000,333.15,0.000291,0,656
30000000,333.15,0.0015,0.235,725
30000000,333.15,0.00418,0.511,770
30000000,333.15,0.00782,0.743,791
30000000,333.15,0.0131,1,802
101320,298.15,0.000294,0,654.8
101320,298.15,0.000405,0.0144,663.9
101320,298.15,0.000593,0.0481,682.1
101320,298.15,0.000727,0.0748,694.2
101320,298.15,0.000971,0.1218,711.9
101320,298.15,0.001413,0.1779,728.5
101320,298.15,0.002923,0.2858,751.4
101320,298.15,0.004685,0.3695,764
101320,298.15,0.006068,0.4258,770.7
101320,298.15,0.010154,0.5661,783.6
101320,298.15,0.015592,0.718,793.5
101320,298.15,0.0196,0.807,798
101320,298.15,0.024318,0.8939,801.7
101320,298.15,0.028409,0.9593,804.1
101320,298.15,0.030743,0.9943,805.2
101320,298.15,0.031123,1,805.4
