p,T,viscosity,x1,density
100000,293.15,0.00364,0,784.1
100000,293.15,0.00328,0.125,781.4
100000,293.15,0.00298,0.25,778.1
100000,293.15,0.00269,0.375,774.7
100000,293.15,0.00249,0.5,771.3
100000,293.15,0.00229,0.625,767.6
100000,293.15,0.00214,0.75,763.8
100000,293.15,0.00198,0.875,760.3
100000,293.15,0.0018,1,755.8
20000000,293.15,0.00536,0,797.3
20000000,293.15,0.00468,0.125,794.2
20000000,293.15,0.00414,0.25,790.9
20000000,293.15,0.00369,0.375,787.4
20000000,293.15,0.00329,0.5,784
20000000,293.15,0.003,0.625,780.3
20000000,293.15,0.00276,0.75,776.6
20000000,293.15,0.00248,0.875,772.9
20000000,293.15,0.0022,1,769
40000000,293.15,0.00762,0,808.8
40000000,293.15,0.0066,0.125,805.1
40000000,293.15,0.0057,0.25,801.8
40000000,293.15,0.00494,0.375,798.4
40000000,293.15,0.00437,0.5,794.9
40000000,293.15,0.00392,0.625,791.2
40000000,293.15,0.00352,0.75,787.5
40000000,293.15,0.0031,0.875,783.7
40000000,293.15,0.0027,1,780.4
60000000,293.15,0.0108,0,818.9
60000000,293.15,0.00921,0.125,814.7
60000000,293.15,0.00771,0.25,811.4
60000000,293.15,0.00653,0.375,808.1
60000000,293.15,0.00562,0.5,804.4
60000000,293.15,0.00493,0.625,800.8
60000000,293.15,0.00442,0.75,797.1
60000000,293.15,0.00385,0.875,793.4
60000000,293.15,0.00335,1,790.6
100000,303.15,0.00292,0,777.4
100000,303.15,0.00265,0.125,774.6
100000,303.15,0.00239,0.25,771.3
100000,303.15,0.00218,0.375,768
100000,303.15,0.00207,0.5,764.4
100000,303.15,0.00189,0.625,760.7
100000,303.15,0.00176,0.75,756.9
100000,303.15,0.00164,0.875,753.3
100000,303.15,0.00153,1,748.7
20000000,303.15,0.0042,0,791.3
20000000,303.15,0.00371,0.125,788
20000000,303.15,0.00331,0.25,784.7
20000000,303.15,0.003,0.375,781.4
20000000,303.15,0.00269,0.5,777.8
20000000,303.15,0.00245,0.625,774
20000000,303.15,0.00225,0.75,770.2
20000000,303.15,0.0021,0.875,766.6
20000000,303.15,0.00194,1,762.6
40000000,303.15,0.0059,0,803.2
40000000,303.15,0.00518,0.125,799.5
40000000,303.15,0.00447,0.25,796.2
40000000,303.15,0.00399,0.375,792.7
40000000,303.15,0.00351,0.5,789.2
40000000,303.15,0.00317,0.625,785.3
40000000,303.15,0.00284,0.75,781.5
40000000,303.15,0.00264,0.875,778
40000000,303.15,0.0024,1,774.4
60000000,303.15,0.0081,0,813.6
