p,T,viscosity,x1
101320,293.15,0.002841,0
101320,293.15,0.002728,0.103
101320,293.15,0.002618,0.202
101320,293.15,0.002517,0.3023
101320,293.15,0.002418,0.3967
101320,293.15,0.00231,0.5078
101320,293.15,0.002223,0.5972
101320,293.15,0.002131,0.7003
101320,293.15,0.002038,0.8019
101320,293.15,0.001948,0.9018
101320,293.15,0.001863,1
101320,298.15,0.002534,0
101320,298.15,0.002439,0.1
101320,298.15,0.002349,0.2001
101320,298.15,0.00226,0.2975
101320,298.15,0.002172,0.3984
101320,298.15,0.002085,0.5
101320,298.15,0.002003,0.5985
101320,298.15,0.001917,0.7037
101320,298.15,0.00184,0.8004
101320,298.15,0.001768,0.8983
101320,298.15,0.001688,1
