p/Pa,T/K,x/decane,viscosity/Pa·s
101325,293.15,0,0.002841
101325,293.15,0.0958,0.002593
101325,293.15,0.1989,0.002348
101325,293.15,0.2947,0.002131
101325,293.15,0.3865,0.001934
101325,293.15,0.4839,0.001741
101325,293.15,0.578,0.001567
101325,293.15,0.6958,0.001357
101325,293.15,0.798,0.001201
101325,293.15,0.9126,0.001033
101325,293.15,1,0.0009183
101325,298.15,0,0.002534
101325,298.15,0.0973,0.002322
101325,298.15,0.1999,0.002108
101325,298.15,0.2983,0.001916
101325,298.15,0.3925,0.001743
101325,298.15,0.4933,0.001567
101325,298.15,0.6025,0.00139
101325,298.15,0.7033,0.001239
101325,298.15,0.8079,0.001092
101325,298.15,0.9014,0.0009696
101325,298.15,1,0.0008505
