p/Pa,T/K,x/octane,viscosity/Pa·s
101325,293.15,0,0.001863
101325,293.15,0.1023,0.001637
101325,293.15,0.1966,0.001519
101325,293.15,0.3011,0.001354
101325,293.15,0.3813,0.001237
101325,293.15,0.4993,0.001076
101325,293.15,0.6002,0.00095
101325,293.15,0.6949,0.00084
101325,293.15,0.7976,0.0007304
101325,293.15,0.9047,0.0006269
101325,293.15,1,0.0005433
101325,298.15,0,0.001688
101325,298.15,0.1246,0.001492
101325,298.15,0.1988,0.001383
101325,298.15,0.3028,0.001239
101325,298.15,0.3936,0.001122
101325,298.15,0.4971,0.0009963
101325,298.15,0.5956,0.000885
101325,298.15,0.697,0.0007811
101325,298.15,0.7898,0.0006921
101325,298.15,0.8988,0.0005929
101325,298.15,1,0.0005105
