p/Pa,T/K,x/octane,viscosity/Pa·s
101325,293.15,0,0.001174
101325,293.15,0.1007,0.001099
101325,293.15,0.2018,0.00102
101325,293.15,0.2995,0.000953
101325,293.15,0.4108,0.0008779
101325,293.15,0.5076,0.0008145
101325,293.15,0.5964,0.0007599
101325,293.15,0.6995,0.0007001
101325,293.15,0.7954,0.0006472
101325,293.15,0.8978,0.0005933
101325,293.15,1,0.0005433
101325,298.15,0,0.001081
101325,298.15,0.0992,0.001012
101325,298.15,0.2059,0.0009412
101325,298.15,0.2978,0.0008829
101325,298.15,0.3916,0.0008255
101325,298.15,0.5019,0.0007644
101325,298.15,0.5959,0.0007093
101325,298.15,0.7154,0.0006474
101325,298.15,0.8041,0.0006023
101325,298.15,0.9011,0.0005559
101325,298.15,1,0.0005105
