p/Pa,T/K,x/tridecane,viscosity/Pa·s
101325,293.15,0,0.002841
101325,293.15,0.103,0.002728
101325,293.15,0.202,0.002618
101325,293.15,0.3023,0.002517
101325,293.15,0.3967,0.002418
101325,293.15,0.5078,0.00231
101325,293.15,0.5972,0.002223
101325,293.15,0.7003,0.002131
101325,293.15,0.8019,0.002038
101325,293.15,0.9018,0.001948
101325,293.15,1,0.001863
101325,298.15,0,0.002534
101325,298.15,0.1,0.002439
101325,298.15,0.2001,0.002349
101325,298.15,0.2975,0.00226
101325,298.15,0.3984,0.002172
101325,298.15,0.5,0.002085
101325,298.15,0.5985,0.002003
101325,298.15,0.7037,0.001917
101325,298.15,0.8004,0.00184
101325,298.15,0.8983,0.001768
101325,298.15,1,0.001688
