p/Pa,T/K,x/undecane,viscosity/Pa·s
101325,293.15,0,0.001863
101325,293.15,0.1389,0.001754
101325,293.15,0.2035,0.001705
101325,293.15,0.3044,0.001632
101325,293.15,0.4076,0.001558
101325,293.15,0.4924,0.001498
101325,293.15,0.5897,0.001433
101325,293.15,0.7108,0.001355
101325,293.15,0.8027,0.001294
101325,293.15,0.898,0.001236
101325,293.15,1,0.001174
101325,298.15,0,0.001688
101325,298.15,0.1023,0.001619
101325,298.15,0.2031,0.001549
101325,298.15,0.2991,0.001487
101325,298.15,0.3981,0.001423
101325,298.15,0.4981,0.001362
101325,298.15,0.5976,0.001304
101325,298.15,0.7028,0.001244
101325,298.15,0.8,0.001189
101325,298.15,0.9004,0.001134
101325,298.15,1,0.001081
