p/pa,T/K,dynamic viscosity/ Pa s
100000,185,0.003423
100000,186.5,0.00322
100000,191.9,0.002871
100000,193.9,0.002601
100000,194.1,0.002526
100000,200,0.002067
100000,202.9,0.00191
100000,211.3,0.001586
100000,214.2,0.001439
100000,220,0.001231
100000,226.5,0.001088
100000,233.8,0.000946
100000,234.2,0.000981
100000,243,0.000745
100000,250,0.000732
100000,254,0.000695
100000,271.7,0.000541
100000,273.1,0.000536
100000,275,0.000518
100000,295,0.00042
100000,296.3,0.000409
100000,300,0.000376
100000,293.15,0.00041
100000,298.15,0.000389
100000,303.15,0.000368
100000,308.15,0.000349
100000,318.15,0.000315
100000,323.15,0.0003
100000,328.15,0.000284
100000,333.15,0.000271
