T/K,p/pa,dynamic viscosity/ Pa s
178.15,100000,0.002209
183.15,100000,0.001891
198.15,100000,0.001265
213.15,100000,0.0009249
228.15,100000,0.0007078
228.15,100000,0.0007067
243.15,100000,0.0005657
258.15,100000,0.0004644
273.15,100000,0.0003865
293.15,100000,0.000311
298.15,100000,0.000298
313.15,100000,0.0002517
323.15,100000,0.0002337
288.15,100000,0.000326
293.15,100000,0.000309
298.15,100000,0.000294
303.15,100000,0.00028
308.15,100000,0.000266
313.15,100000,0.000254
318.15,100000,0.000242
323.15,100000,0.000231
328.15,100000,0.00022
333.15,100000,0.000211
