p/pa,T/K,dynamic viscosity/ Pa s
100000,295.15,0.000653
100000,317.15,0.000494
100000,335.15,0.000396
100000,354.15,0.00031
100000,373.15,0.000285
100000,392.15,0.000261
100000,288.15,0.00077
100000,293.15,0.00072
100000,298.15,0.00068
100000,223,0.0033248
100000,233,0.0024198
100000,243,0.0018268
100000,253,0.001415
100000,263,0.0011525
100000,273,0.0009488
100000,283,0.0008056
100000,293,0.0006921
100000,303,0.0006044
100000,313,0.0005336
100000,323,0.000486
100000,333,0.0004268
100000,343,0.0003872
100000,353,0.0003516
100000,363,0.000345
