T/K,p/pa,dynamic viscosity/ Pa s
273.15,100000,0.00000623
298.15,100000,0.0000068
323.15,100000,0.0000073
348.15,100000,0.0000079
373.15,100000,0.0000085
423.15,100000,0.00000967
473.15,100000,0.00001079
523.15,100000,0.00001191
573.15,100000,0.00001295
673.15,100000,0.0000151
773.15,100000,0.00001725
873.15,100000,0.0000193
146.15,100000,0.00323
148.15,100000,0.003021
154.15,100000,0.002363
173.15,100000,0.001262
198.15,100000,0.00073
223.15,100000,0.000492
248.15,100000,0.0003574
273.15,100000,0.0002755
298.15,100000,0.0002175
