p,T,viscosity
100000,283.13,0.002891
100000,283.13,0.002881
100000,283.13,0.002888
100000,285.32,0.002731
100000,285.32,0.002727
100000,285.32,0.002735
100000,285.32,0.002735
100000,285.32,0.002729
100000,287.8,0.002582
100000,287.8,0.002577
100000,287.8,0.00257
100000,287.8,0.002571
100000,287.8,0.002572
100000,287.8,0.002573
100000,287.8,0.002585
100000,292.78,0.002307
100000,292.78,0.002308
100000,292.78,0.002312
100000,292.78,0.002314
100000,298.73,0.002036
100000,298.73,0.002035
100000,298.73,0.002036
100000,298.73,0.002036
100000,317.97,0.00141
100000,317.97,0.001413
100000,317.97,0.001411
100000,317.98,0.001409
100000,317.97,0.001415
100000,337.98,0.00104
100000,337.98,0.001041
100000,337.99,0.001039
100000,337.98,0.001041
100000,337.98,0.001038
100000,337.98,0.001039
100000,337.98,0.001042
100000,337.98,0.001042
100000,337.98,0.001039
100000,337.96,0.00104
100000,337.96,0.001038
100000,337.96,0.001042
100000,337.96,0.001041
100000,357.61,0.000807
100000,357.61,0.000807
100000,357.61,0.000806
100000,357.61,0.000807
100000,357.61,0.000804
100000,357.61,0.000808
100000,293.15,0.002291
100000,298.15,0.002026
100000,303.15,0.001894
100000,308.15,0.001672
100000,313.18,0.001576
100000,318.15,0.001409
100000,293.15,0.00233
100000,303.15,0.0019
100000,313.15,0.00158
100000,323.15,0.00134
100000,333.15,0.00114
100000,293.15,0.00233
100000,313.15,0.0016
100000,333.15,0.00115
100000,353.15,0.000878
100000,373.15,0.000692
100000,297.15,0.00247
100000,317.15,0.00162
100000,335.15,0.00117
100000,354.15,0.00087
100000,373.15,0.000685
100000,392.15,0.00056
