p,T,viscosity,,,,,
100000,293.15,0.0018,,,,,
100000,303.15,0.00153,,,,,
100000,313.15,0.00129,,,,,
100000,323.15,0.0011,,,,,
100000,333.15,0.000966,,,,,
100000,343.15,0.000849,,,,,
100000,353.15,0.000751,,,,,
100000,293.15,0.001855,,,,,
100000,298.15,0.001678,,,,,
100000,303.15,0.001562,,,,,
100000,308.15,0.001421,,,,,
100000,313.15,0.00131,,,,,
100000,318.15,0.001206,,,,,
100000,323.15,0.001116,,,,,
100000,293.15,0.001803,,,,,
100000,303.15,0.001527,,,,,
100000,313.15,0.001291,,,,,
100000,323.15,0.001104,,,,,
100000,333.15,0.000967,,,,,
100000,343.15,0.000849,,,,,
100000,353.15,0.000751,,,,,
100000,293.15,0.00187,,,,,
100000,303.15,0.00155,,,,,
100000,313.15,0.00131,,,,,
100000,323.15,0.00112,,,,,
100000,333.15,0.000965,,,,,
