Component,a0,a1,a2,a3
Butane,-0.279598938,0.565056929,-0.011750508,0.002018378
Pentane,-0.321662122,0.648980086,-0.042975411,0.003885611
Hexane,-0.276333909,0.557322309,-0.023478038,0.002320333
Heptane,-0.246267543,0.496783085,-0.013712748,0.00161308
Octane,-0.254784612,0.513541566,-0.020666875,0.001932771
Nonane,-0.284855489,0.573185938,-0.035148874,0.002572649
Decane,-0.236569607,0.476325285,-0.015137594,0.001296064
Undecane,-0.23014084,0.463055112,-0.01206577,0.000935132
Dodecane,-0.204248013,0.411175427,-0.003714421,0.000441493
Hexadecane,-0.176308862,0.354871887,0.002967152,-7.10E-05
