A,B,C
[method=bub_point],,
T,x_N2,out_p
262.02,0.000164027,78799
262.02,0.00017203,81534.7
262.02,0.000369136,150213
262.02,0.000375641,152523
262.02,0.000545798,215831
262.02,0.000554307,216439
273.15,0.000104511,70635.7
273.15,0.000116013,73746.4
273.15,0.00014152,82916.3
273.15,0.000203041,104336
273.15,0.000269573,126040
273.15,0.000281579,130265
273.15,0.000430185,179854
273.15,0.0004477,187555
273.15,0.00053879,217020
298.15,0.000123515,159421
298.15,0.000192537,180780
298.15,0.000241058,194084
298.15,0.00024406,195817
298.15,0.000277077,206598
298.15,0.000370637,233631
298.15,0.000429685,252954
303.16,0.000190536,208081
303.16,0.000287082,236208
