p,T,viscosity
100000,293.15,0.0006537
100000,303.15,0.000558
100000,313.15,0.000491
100000,323.15,0.0004358
100000,333.15,0.000393
100000,343.15,0.000354
100000,348.15,0.0003368
2500000,293.15,0.0006665
2500000,323.15,0.0004461
2500000,348.15,0.0003442
2500000,373.15,0.0002719
2500000,398.15,0.0002183
2500000,423.15,0.0001784
2500000,448.15,0.0001482
2500000,473.15,0.0001212
2500000,498.15,0.0000915
5000000,293.15,0.000682
5000000,323.15,0.000457
5000000,348.15,0.0003525
5000000,368.15,0.000291
5000000,373.15,0.0002788
5000000,398.15,0.0002263
5000000,423.15,0.0001855
5000000,426.15,0.000181
5000000,448.15,0.0001548
5000000,473.15,0.0001265
5000000,475.15,0.000123
5000000,498.15,0.0001012
5000000,521.15,0.000081
5000000,523.15,0.0000796
5000000,548.15,0.0000594
4903300,295.15,0.000652
4903300,312.15,0.00051
4903300,341.65,0.000369
4903300,363.35,0.000298
4903300,386.15,0.000249
4903300,435.35,0.000164
4903300,457.85,0.000142
4903300,497.35,0.000107
4903300,510.65,0.000099
4903300,541.25,0.000076
100000,303.15,0.000559
6100000,303.15,0.000592
100000,318.15,0.000458
6100000,318.15,0.000494
100000,333.15,0.00039
6100000,333.15,0.000412
250000,343.15,0.000343
6100000,343.15,0.000368
350000,363.15,0.000288
6100000,363.15,0.000309
350000,373.15,0.000262
6100000,373.15,0.000284
350000,383.15,0.000239
6100000,383.15,0.000258
400000,393.15,0.000223
6100000,393.15,0.00024
700000,403.15,0.000201
6100000,403.15,0.000222
800000,423.15,0.000172
6100000,423.15,0.000192
900000,445.15,0.000153
6100000,445.15,0.00017
200000,325,0.000427
200000,350,0.000331
200000,375,0.000258
400000,325,0.000427
400000,350,0.000332
400000,375,0.000259
100000,283.15,0.000759
100000,293.15,0.000649
100000,298.15,0.0006
100000,303.15,0.00056
100000,313.15,0.00049
100000,323.15,0.000437
100000,333.15,0.000391
100000,303.15,0.000559
100000,318.15,0.000458
100000,333.15,0.00039
250000,343.15,0.000343
350000,363.15,0.000288
350000,373.15,0.000262
350000,383.15,0.000239
400000,393.15,0.000223
