p,T,viscosity
100000.00,298.15,0.003299
20000000,298.15,0.004674
40000000,298.15,0.009354
60000000,298.15,0.009534
80000000,298.15,0.00954
100000000,298.15,0.01811
100000,313.15,0.002383
20000000,313.15,0.003356
40000000,313.15,0.006376
60000000,313.15,0.006527
80000000,313.15,0.006534
100000000,313.15,0.01208
100000,333.15,0.001658
20000000,333.15,0.002287
40000000,333.15,0.004527
60000000,333.15,0.004517
80000000,333.15,0.004573
100000000,333.15,0.007218
100000,353.15,0.001243
20000000,353.15,0.001709
40000000,353.15,0.003289
60000000,353.15,0.003283
80000000,353.15,0.003285
100000000,353.15,0.004781
100000,363.15,0.001092
20000000,363.15,0.001482
40000000,363.15,0.002528
60000000,363.15,0.002529
80000000,363.15,0.00253
100000000,363.15,0.004274
100000,293.15,0.003782
20000000,293.15,0.005477
40000000,293.15,0.007791
60000000,293.15,0.01113
80000000,293.15,0.01592
100000000,293.15,0.02277
100000,303.15,0.002984
20000000,303.15,0.004237
40000000,303.15,0.00596
60000000,303.15,0.008308
80000000,303.15,0.01148
100000000,303.15,0.01573
100000,313.15,0.002411
20000000,313.15,0.003411
40000000,313.15,0.0047
60000000,313.15,0.006426
80000000,313.15,0.00871
100000000,313.15,0.01171
100000,323.15,0.002018
20000000,323.15,0.002841
40000000,323.15,0.003904
60000000,323.15,0.005271
80000000,323.15,0.007007
100000000,323.15,0.009194
100000,333.15,0.001682
20000000,333.15,0.002315
40000000,333.15,0.003139
60000000,333.15,0.004197
80000000,333.15,0.005537
100000000,333.15,0.007222
100000,343.15,0.001446
20000000,343.15,0.001975
40000000,343.15,0.002627
60000000,343.15,0.003448
80000000,343.15,0.004475
100000000,343.15,0.00575
100000,353.15,0.001245
20000000,353.15,0.001703
40000000,353.15,0.002274
60000000,353.15,0.002985
80000000,353.15,0.00386
100000000,353.15,0.004923
100000,298.15,0.003354
50000000,298.15,0.008425
80000000,298.15,0.014394
120000000,298.15,0.028282
160000000,298.15,0.055791
195000000,298.15,0.098501
100000,353.15,0.001253
50000000,353.15,0.002708
80000000,353.15,0.004033
120000000,353.15,0.006621
160000000,353.15,0.010809
195000000,353.15,0.016199
100000,453.15,0.000421
50000000,453.15,0.00089
80000000,453.15,0.001225
120000000,453.15,0.001795
160000000,453.15,0.002512
195000000,453.15,0.003363
