p,T,viscosity
689473.3,310.93,0.00022413
1378947,310.93,0.00022692
2757893,310.93,0.00023784
5515786,310.93,0.00024652
6894733,310.93,0.00025375
10342100,310.93,0.00026981
13789470,310.93,0.00028543
20684200,310.93,0.00031725
27578930,310.93,0.00034935
34473660,310.93,0.00039169
41368400,310.93,0.00041913
689473.3,344.26,0.00015226
1378947,344.26,0.00015247
5515786,344.26,0.00016675
6894733,344.26,0.00017368
13789470,344.26,0.00020328
27578930,344.26,0.00024819
41368400,344.26,0.00030638
55157860,344.26,0.00036041
2757893,377.59,0.00010864
4136840,377.59,0.00011318
6894733,377.59,0.00012481
10342100,377.59,0.0001358
20684200,377.59,0.00016751
27578930,377.59,0.00018752
34473660,377.59,0.00020633
41368400,377.59,0.00022712
55157860,377.59,0.00026831
2757893,410.93,0.00006902
4136840,410.93,0.00007699
5515786,410.93,0.00008438
10342100,410.93,0.00010151
13789470,410.93,0.00011173
20684200,410.93,0.0001302
34473660,410.93,0.00016475
41368400,410.93,0.00018136
55157860,410.93,0.00021385
50013910,304.05,0.0004847
31381280,304.25,0.0003817
16180970,304.35,0.0003112
4412992,304.65,0.0002488
40207270,323.75,0.0003365
17651970,323.95,0.0002475
79433860,323.95,0.000533
59820560,324.15,0.0004278
11277650,373.75,0.0001362
51484910,373.75,0.0002482
32361940,373.85,0.0001929
74530540,373.95,0.0003152
99047160,373.95,0.0003835
41678260,422.15,0.0001592
25006960,422.15,0.0001248
60310890,422.15,0.0001966
79433860,422.65,0.0002383
122583100,422.65,0.0003268
101498800,422.65,0.00028
