p,T,Viscosity
1000000,273.15,0.0004335
5000000,273.16,0.0004595
10000000,273.14,0.0004829
15000000,273.17,0.0005077
20000000,273.15,0.0005391
25000000,273.16,0.0005681
30000000,273.17,0.0006022
35000000,273.15,0.0006264
40000000,273.16,0.000656
1000000,283.12,0.0003904
5000000,283.13,0.0004095
10000000,283.15,0.0004294
15000000,283.15,0.0004568
20000000,283.14,0.0004823
25000000,283.14,0.000506
30000000,283.14,0.0005337
35000000,283.14,0.000559
40000000,283.16,0.000586
1000000,293.15,0.0003485
5000000,293.15,0.0003644
10000000,293.15,0.0003838
15000000,293.14,0.0004097
20000000,293.14,0.0004292
25000000,293.15,0.0004555
30000000,293.15,0.0004762
35000000,293.15,0.0005015
40000000,293.15,0.0005256
1000000,303.18,0.0003136
5000000,303.17,0.0003279
10000000,303.17,0.0003471
15000000,303.16,0.000368
20000000,303.16,0.0003887
25000000,303.13,0.0004091
30000000,303.15,0.0004303
35000000,303.15,0.000452
40000000,303.15,0.0004719
1000000,313.14,0.000282
5000000,313.14,0.0002963
10000000,313.14,0.0003151
15000000,313.13,0.0003337
20000000,313.14,0.0003528
25000000,313.13,0.0003714
30000000,313.15,0.0003915
35000000,313.16,0.00041
40000000,313.16,0.0004293
1000000,323.17,0.000256
5000000,323.17,0.0002686
10000000,323.17,0.0002861
15000000,323.16,0.0003032
20000000,323.16,0.0003201
25000000,323.16,0.0003375
30000000,323.16,0.0003555
35000000,323.16,0.0003733
40000000,323.16,0.000392
1000000,333.16,0.0002331
5000000,333.16,0.000245
10000000,333.16,0.0002619
15000000,333.16,0.0002772
20000000,333.15,0.000294
25000000,333.15,0.0003102
30000000,333.15,0.0003275
35000000,333.16,0.0003436
40000000,333.16,0.00036
1000000,343.15,0.0002132
5000000,343.15,0.0002244
10000000,343.15,0.0002396
15000000,343.15,0.000256
20000000,343.15,0.0002719
25000000,343.15,0.0002866
30000000,343.15,0.000302
35000000,343.15,0.0003173
40000000,343.15,0.0003304
98066.5,313.15,0.000274
29419950,313.15,0.000378
58839900,313.15,0.000489
88259850,313.15,0.000612
117679800,313.15,0.000749
147099800,313.15,0.0009
