p,T,viscosity,Phase
100000.0,298.15,0.006781,liquid
2.0e7,298.15,0.007751,liquid
4.0e7,298.15,0.01055,liquid
6.0e7,298.15,0.01442,liquid
8.0e7,298.15,0.01928,liquid
1.0e8,298.15,0.01665,liquid
100000.0,313.15,0.004422,liquid
2.0e7,313.15,0.005048,liquid
4.0e7,313.15,0.006874,liquid
6.0e7,313.15,0.009106,liquid
8.0e7,313.15,0.01157,liquid
1.0e8,313.15,0.008807,liquid
100000.0,333.15,0.002896,liquid
2.0e7,333.15,0.003786,liquid
4.0e7,333.15,0.004148,liquid
6.0e7,333.15,0.005361,liquid
8.0e7,333.15,0.006868,liquid
1.0e8,333.15,0.005474,liquid
100000.0,353.15,0.001981,liquid
2.0e7,353.15,0.002153,liquid
4.0e7,353.15,0.002793,liquid
6.0e7,353.15,0.003561,liquid
8.0e7,353.15,0.004408,liquid
1.0e8,353.15,0.005474,liquid
100000.0,363.15,0.001699,liquid
2.0e7,363.15,0.001807,liquid
4.0e7,363.15,0.002351,liquid
6.0e7,363.15,0.002935,liquid
8.0e7,363.15,0.003676,liquid
1.0e8,363.15,0.004443,liquid
