p,T,Viscosity
98066.5,288.15,0.0002387
490332.5,288.15,0.0002398
980665,288.15,0.0002412
1.47E+06,288.15,0.0002426
1.96E+06,288.15,0.000244
2.45E+06,288.15,0.0002454
2.94E+06,288.15,0.0002468
3.33E+06,288.15,0.0002482
3.43E+06,288.15,0.0002483
3.92E+06,288.15,0.0002498
4.90E+06,288.15,0.0002525
6.86E+06,288.15,0.0002584
9.81E+06,288.15,0.0002672
1.47E+07,288.15,0.0002811
1.96E+07,288.15,0.0002951
2.45E+07,288.15,0.0003094
2.94E+07,288.15,0.0003236
3.92E+07,288.15,0.000352
4.90E+07,288.15,0.0003807
5.88E+07,288.15,0.0004099
490332.5,298.15,0.0002173
980665,298.15,0.0002187
1.47E+06,298.15,0.0002199
1.96E+06,298.15,0.0002214
2.45E+06,298.15,0.0002226
2.94E+06,298.15,0.0002241
3.33E+06,298.15,0.0002248
3.43E+06,298.15,0.0002253
3.92E+06,298.15,0.0002266
4.90E+06,298.15,0.0002296
6.86E+06,298.15,0.0002346
9.81E+06,298.15,0.0002428
1.47E+07,298.15,0.0002569
1.96E+07,298.15,0.0002693
2.45E+07,298.15,0.0002825
2.94E+07,298.15,0.0002958
3.92E+07,298.15,0.0003224
4.90E+07,298.15,0.0003492
5.88E+07,298.15,0.000376
490332.5,323.15,0.0001699
980665,323.15,0.0001712
1.47E+06,323.15,0.0001726
1.96E+06,323.15,0.000174
2.45E+06,323.15,0.0001752
2.94E+06,323.15,0.0001766
3.33E+06,323.15,0.0001774
3.43E+06,323.15,0.0001778
3.92E+06,323.15,0.000179
4.90E+06,323.15,0.0001816
6.86E+06,323.15,0.0001866
9.81E+06,323.15,0.0001939
1.47E+07,323.15,0.0002052
1.96E+07,323.15,0.0002164
2.45E+07,323.15,0.0002273
2.94E+07,323.15,0.0002385
3.92E+07,323.15,0.000261
4.90E+07,323.15,0.0002835
5.88E+07,323.15,0.0003061
490332.5,348.15,0.0001358
980665,348.15,0.000137
1.47E+06,348.15,0.0001383
1.96E+06,348.15,0.0001396
2.45E+06,348.15,0.0001406
2.94E+06,348.15,0.0001418
3.33E+06,348.15,0.0001425
3.43E+06,348.15,0.0001429
3.92E+06,348.15,0.000144
4.90E+06,348.15,0.0001464
6.86E+06,348.15,0.0001509
9.81E+06,348.15,0.0001576
1.47E+07,348.15,0.0001684
1.96E+07,348.15,0.0001786
2.45E+07,348.15,0.000189
2.94E+07,348.15,0.000199
3.92E+07,348.15,0.0002191
4.90E+07,348.15,0.0002378
5.88E+07,348.15,0.000257
980665,373.15,0.0001082
1.47E+06,373.15,0.0001094
1.96E+06,373.15,0.0001107
2.45E+06,373.15,0.0001119
2.94E+06,373.15,0.0001131
3.33E+06,373.15,0.0001139
3.43E+06,373.15,0.000115
3.92E+06,373.15,0.0001155
4.90E+06,373.15,0.0001178
6.86E+06,373.15,0.0001222
9.81E+06,373.15,0.0001283
1.47E+07,373.15,0.0001386
1.96E+07,373.15,0.0001482
2.45E+07,373.15,0.0001576
2.94E+07,373.15,0.0001664
3.92E+07,373.15,0.0001841
4.90E+07,373.15,0.0002011
5.88E+07,373.15,0.0002197
1.47E+06,398.15,8.71E-05
1.96E+06,398.15,8.85E-05
2.45E+06,398.15,8.99E-05
2.94E+06,398.15,9.11E-05
3.33E+06,398.15,9.18E-05
3.43E+06,398.15,9.22E-05
3.92E+06,398.15,9.35E-05
4.90E+06,398.15,9.69E-05
6.86E+06,398.15,0.0001006
9.81E+06,398.15,0.000107
1.47E+07,398.15,0.0001166
1.96E+07,398.15,0.0001256
2.45E+07,398.15,0.0001344
2.94E+07,398.15,0.0001431
3.92E+07,398.15,0.0001592
4.90E+07,398.15,0.0001752
5.88E+07,398.15,0.000197
2.45E+06,423.15,7.12E-05
2.94E+06,423.15,7.29E-05
3.33E+06,423.15,7.40E-05
3.43E+06,423.15,7.45E-05
3.92E+06,423.15,7.60E-05
4.90E+06,423.15,7.89E-05
6.86E+06,423.15,8.38E-05
9.81E+06,423.15,9.06E-05
1.47E+07,423.15,0.0001003
1.96E+07,423.15,0.0001085
2.45E+07,423.15,0.000117
2.94E+07,423.15,0.0001252
3.92E+07,423.15,0.0001407
4.90E+07,423.15,0.0001555
5.88E+07,423.15,0.0001699
2.94E+06,448.15,5.05E-05
3.33E+06,448.15,5.27E-05
3.43E+06,448.15,5.37E-05
3.92E+06,448.15,5.65E-05
4.90E+06,448.15,6.15E-05
6.86E+06,448.15,6.82E-05
9.81E+06,448.15,7.59E-05
1.47E+07,448.15,8.61E-05
1.96E+07,448.15,9.54E-05
2.45E+07,448.15,0.0001035
2.94E+07,448.15,0.0001107
3.92E+07,448.15,0.000125
4.90E+07,448.15,0.0001386
5.88E+07,448.15,0.0001521
3.33E+06,453.15,4.60E-05
3.43E+06,453.15,4.78E-05
3.92E+06,453.15,5.21E-05
4.90E+06,453.15,5.79E-05
6.86E+06,453.15,6.52E-05
9.81E+06,453.15,7.33E-05
1.47E+07,453.15,8.36E-05
1.96E+07,453.15,9.90E-05
2.45E+07,453.15,0.0001011
2.94E+07,453.15,0.0001084
3.92E+07,453.15,0.0001225
4.90E+07,453.15,0.0001358
5.88E+07,453.15,0.0001485
