p,T,viscosity
1000000,283.16,0.00032
5000000,283.15,0.0003362
10000000,283.15,0.0003548
15000000,283.14,0.0003708
20000000,283.15,0.0003883
25000000,283.15,0.0004074
30000000,283.15,0.0004244
1000000,293.16,0.0002925
5000000,293.16,0.0003061
10000000,293.16,0.0003212
15000000,293.15,0.000339
20000000,293.16,0.0003547
25000000,293.16,0.0003707
30000000,293.17,0.0003863
1000000,303.15,0.0002668
5000000,303.15,0.000279
10000000,303.17,0.0002925
15000000,303.17,0.000307
20000000,303.16,0.0003236
25000000,303.17,0.0003389
30000000,303.17,0.0003525
1000000,313.16,0.0002435
5000000,313.17,0.0002545
10000000,313.15,0.0002682
15000000,313.15,0.0002829
20000000,313.15,0.0002966
25000000,313.15,0.0003106
30000000,313.15,0.0003241
1000000,323.16,0.0002231
5000000,323.16,0.0002327
10000000,323.17,0.0002468
15000000,323.17,0.0002594
20000000,323.17,0.0002734
25000000,323.17,0.0002866
30000000,323.17,0.0002999
1000000,333.15,0.0002046
5000000,333.15,0.0002142
10000000,333.15,0.0002278
15000000,333.15,0.0002402
20000000,333.15,0.0002532
25000000,333.15,0.0002656
30000000,333.15,0.0002785
1000000,343.16,0.0001901
5000000,343.16,0.0001986
10000000,343.17,0.0002106
15000000,343.17,0.0002245
20000000,343.17,0.0002367
25000000,343.17,0.0002511
30000000,343.16,0.0002615
