p,T,viscosity
414500,300,0.0001471
806400,300,0.0001482
4.10E+06,300,0.0001559
7.67E+06,300,0.000166
1.15E+07,300,0.000175
1.35E+07,300,0.0001815
1.47E+07,300,0.0001847
1.49E+07,300,0.0001818
1.66E+07,300,0.0001882
1.82E+07,300,0.0001882
2.15E+07,300,0.0001977
2.44E+07,300,0.0002034
2.52E+07,300,0.0002063
2.86E+07,300,0.0002156
3.21E+07,300,0.0002238
3.19E+06,250,0.0002799
7.39E+06,250,0.000295
1.08E+07,250,0.0003047
1.17E+07,250,0.0003027
1.40E+07,250,0.0003168
1.56E+07,250,0.0003147
1.75E+07,250,0.0003277
1.93E+07,250,0.0003278
2.10E+07,250,0.0003387
2.46E+07,250,0.0003497
2.80E+07,250,0.0003643
3.17E+07,250,0.0003778
3.07E+06,200,0.0005838
7.36E+06,200,0.0006014
1.07E+07,200,0.0006202
1.27E+07,200,0.0006096
1.41E+07,200,0.000628
1.69E+07,200,0.0006436
1.76E+07,200,0.0006581
2.13E+07,200,0.0006826
2.49E+07,200,0.0007111
2.81E+07,200,0.0007317
3.13E+07,200,0.0007488
3.40E+06,180,0.0008367
7.40E+06,180,0.000858
1.40E+07,180,0.0009093
1.77E+07,180,0.0009455
2.11E+07,180,0.0009799
2.45E+07,180,0.001017
2.80E+07,180,0.0010642
3.14E+07,180,0.0010936
1.68E+06,160,0.001346
4.42E+06,160,0.0013188
7.92E+06,160,0.001441
1.12E+07,160,0.0014694
1.48E+07,160,0.0015058
1.84E+07,160,0.0015842
2.19E+07,160,0.001656
2.57E+07,160,0.0016945
2.71E+07,160,0.0016886
3.07E+07,160,0.0018022
3.41E+07,160,0.0018427
3.31E+06,150,0.0018905
7.39E+06,150,0.0019442
7.78E+06,150,0.0019061
1.08E+07,150,0.0019811
1.16E+07,150,0.0019722
1.49E+07,150,0.0021168
1.50E+07,150,0.0020771
1.85E+07,150,0.0021454
2.26E+07,150,0.0022468
2.59E+07,150,0.0023416
2.93E+07,150,0.0021426
3.24E+07,150,0.0024595
2.24E+06,140,0.0025126
4.98E+06,140,0.002597
7.53E+06,140,0.0026404
9.75E+06,140,0.0027225
1.25E+07,140,0.0028267
1.51E+07,140,0.0029666
1.70E+07,140,0.0029579
2.03E+07,140,0.0030141
2.40E+07,140,0.0031566
2.76E+07,140,0.0032263
3.15E+07,140,0.0034829
3.45E+07,140,0.0035408
2.97E+06,135,0.0031371
7.22E+06,135,0.0033521
1.19E+07,135,0.0035239
1.54E+07,135,0.0036712
1.90E+07,135,0.0038788
2.25E+07,135,0.003994
2.60E+07,135,0.0041439
2.94E+07,135,0.0043102
3.28E+07,135,0.0044044
2.73E+06,130,0.0040287
7.75E+06,130,0.0042147
1.19E+07,130,0.0043595
1.54E+07,130,0.0045142
1.90E+07,130,0.0047086
2.24E+07,130,0.004849
2.59E+07,130,0.0050496
2.92E+07,130,0.0052397
3.23E+07,130,0.0053584
2.86E+06,125,0.0048009
6.44E+06,125,0.0051383
9.84E+06,125,0.0053663
1.32E+07,125,0.0055536
2.40E+07,125,0.0062446
2.72E+07,125,0.0065621
3.02E+07,125,0.006803
3.34E+07,125,0.007088
3.28E+06,120,0.0064713
7.55E+06,120,0.0069082
1.32E+07,120,0.0073712
1.69E+07,120,0.0075163
2.03E+07,120,0.0079253
2.40E+07,120,0.0082696
2.70E+07,120,0.0086042
3.02E+07,120,0.0087721
3.31E+07,120,0.0093029
1.38E+06,310.93,0.0001344
1.72E+06,310.93,0.0001376
2.76E+06,310.93,0.0001404
4.14E+06,310.93,0.0001456
6.90E+06,310.93,0.0001506
1.03E+07,310.93,0.0001554
1.38E+06,327.29,0.0001071
2.76E+06,327.29,0.0001102
4.14E+06,327.29,0.0001132
6.90E+06,327.29,0.0001186
1.03E+07,327.29,0.0001252
1.38E+07,327.29,0.0001297
1.38E+06,344.26,8.96E-05
2.76E+06,344.26,9.28E-05
4.14E+06,344.26,9.56E-05
6.90E+06,344.26,0.0001011
1.03E+07,344.26,0.0001065
1.38E+07,344.26,0.0001106
2.76E+06,360.93,7.80E-05
4.14E+06,360.93,8.11E-05
6.90E+06,360.93,8.62E-05
1.03E+07,360.93,9.13E-05
1.38E+07,360.93,9.54E-05
