p,T,Viscosity
1000000,273.14,0.000384
5000000,273.14,0.0003979
10000000,273.14,0.0004162
15000000,273.13,0.0004369
20000000,273.14,0.00046
25000000,273.14,0.0004785
30000000,273.14,0.0004944
35000000,273.14,0.0005201
40000000,273.14,0.0005384
1000000,283.14,0.0003459
5000000,283.14,0.0003583
10000000,283.14,0.0003743
15000000,283.15,0.0003943
20000000,283.14,0.0004131
25000000,283.14,0.0004318
30000000,283.14,0.0004485
35000000,283.15,0.0004678
40000000,283.15,0.0004873
1000000,293.17,0.0003109
5000000,293.17,0.000323
10000000,293.17,0.0003397
15000000,293.16,0.0003562
20000000,293.16,0.0003728
25000000,293.16,0.0003906
30000000,293.17,0.0004076
35000000,293.16,0.0004237
40000000,293.16,0.0004416
1000000,303.16,0.0002824
5000000,303.16,0.0002938
10000000,303.16,0.0003092
15000000,303.16,0.0003247
20000000,303.16,0.000341
25000000,303.16,0.0003574
30000000,303.16,0.0003723
35000000,303.15,0.0003877
40000000,303.16,0.0004042
1000000,313.16,0.0002568
5000000,313.16,0.0002679
10000000,313.17,0.0002819
15000000,313.14,0.0002973
20000000,313.16,0.0003116
25000000,313.15,0.0003261
30000000,313.16,0.0003413
35000000,313.16,0.0003557
40000000,313.16,0.0003704
1000000,323.16,0.0002351
5000000,323.17,0.0002451
10000000,323.17,0.0002593
15000000,323.17,0.0002744
20000000,323.17,0.0002871
25000000,323.17,0.0003
30000000,323.17,0.0003143
35000000,323.17,0.0003283
40000000,323.17,0.0003409
1000000,333.15,0.0002149
5000000,333.16,0.0002251
10000000,333.16,0.0002367
15000000,333.16,0.0002509
20000000,333.16,0.0002637
25000000,333.16,0.0002789
30000000,333.16,0.0002901
35000000,333.16,0.0003031
40000000,333.17,0.0003155
1000000,343.15,0.000198
5000000,343.15,0.0002075
10000000,343.16,0.0002195
15000000,343.16,0.0002324
20000000,343.16,0.0002468
25000000,343.16,0.0002587
30000000,343.15,0.0002713
35000000,343.16,0.0002826
40000000,343.15,0.0002939
98066.5,313.15,0.000247
29419950,313.15,0.000333
58839900,313.15,0.000419
88259850,313.15,0.000507
117679800,313.15,0.000601
147099800,313.15,0.000698
