p,T,viscosity
34500000,310.95,0.00164
68900000,310.95,0.00266
103000000,310.95,0.00391
138000000,310.95,0.00572
172000000,310.95,0.00816
207000000,310.95,0.01146
241000000,310.95,0.0157
276000000,310.95,0.0213
310000000,310.95,0.0286
345000000,310.95,0.0378
34500000,333.15,0.00158
68900000,333.15,0.00238
103000000,333.15,0.0034
138000000,333.15,0.00481
172000000,333.15,0.00665
207000000,333.15,0.00905
241000000,333.15,0.0121
276000000,333.15,0.0159
310000000,333.15,0.0208
345000000,333.15,0.0268
34500000,372.05,0.00152
68900000,372.05,0.00216
103000000,372.05,0.00296
138000000,372.05,0.00397
172000000,372.05,0.0051
207000000,372.05,0.00663
241000000,372.05,0.00844
276000000,372.05,0.0107
310000000,372.05,0.0134
345000000,372.05,0.0166
