p,T,viscosity
1050000,338.19,0.006815001
21210000,338.19,0.009666
40640000,338.2,0.013185
60420000,338.2,0.017706
79830000,338.2,0.02348
100230000,338.2,0.030939
119820000,338.21,0.040324
140240000,338.2,0.052304
161300000,338.2,0.068139
940000,338.22,0.006808
1010000,338.29,0.00683
780000,373.12,0.003125
20350000,373.12,0.004234
39970000,373.12,0.005565
60030000,373.12,0.007219
80950000,373.12,0.009293
101160000,373.12,0.011717
120420000,373.12,0.014403
140640000,373.12,0.017829
159510000,373.12,0.021726
180460000,373.12,0.026767
201380000,373.12,0.032723
620000,373.12,0.003122
1100000,388.14,0.002436
20290000,388.13,0.00325
40380000,388.14,0.004242
59850000,388.14,0.005392
80490000,388.13,0.006828001
101530000,388.13,0.008548
120960000,388.13,0.010458
139900000,388.13,0.01258
160800000,388.14,0.01531
180610000,388.14,0.018401
201470000,388.14,0.02216
890000,388.13,0.002432
1050000,413.17,0.001691
20110000,413.18,0.002233
40280000,413.18,0.002885
60200000,413.18,0.00362
80740000,413.21,0.004485
100350000,413.22,0.005454
120460000,413.22,0.006574
140200000,413.24,0.007831
160570000,413.25,0.009322001
181450000,413.25,0.011116
202090000,413.25,0.013062
610000,413.24,0.00168
680000,433.36,0.001309
600000,433.31,0.001309
20500000,433.35,0.001749
40310000,433.36,0.002231
60430000,433.19,0.002785
80190000,433.2,0.003392
100280000,433.21,0.004072
120040000,433.21,0.004865
140200000,433.21,0.005754
160660000,433.19,0.006774
180700000,433.19,0.007891
200370000,433.19,0.009057
1120000,433.18,0.001324
1150000,453.15,0.001062
20190000,453.16,0.001405
40450000,453.17,0.001796
60480000,453.18,0.002222
80140000,453.18,0.002681
100410000,453.18,0.003214
120790000,453.2,0.0038
140400000,453.2,0.004438
160150000,453.19,0.005142
180710000,453.2,0.005945
163170000,452.95,0.005261
180270000,452.95,0.005937
201770000,452.85,0.006867
150000,473.05,0.000853
1050000,472.81,0.000867
20040000,473.05,0.001151
39890000,473.05,0.001465
60230000,473.06,0.00181
79910000,473.06,0.002175
100370000,473.07,0.00259
120200000,473.05,0.003031
140440000,473.05,0.003531
160340000,473.05,0.004073
180470000,473.05,0.004671
200210000,473.03,0.005348
1050000,473.04,0.000868
100000,303.15,0.0224
1000000,303.15,0.0229
5000000,303.15,0.025
10000000,303.15,0.0278
15000000,303.15,0.0308
20000000,303.15,0.0341
25000000,303.15,0.0378
30000000,303.15,0.0417
35000000,303.15,0.0461
40000000,303.15,0.0508
45000000,303.15,0.0559
50000000,303.15,0.0615
55000000,303.15,0.0677
60000000,303.15,0.0743
100000,313.15,0.0149
1000000,313.15,0.0152
5000000,313.15,0.0165
10000000,313.15,0.0183
15000000,313.15,0.0202
20000000,313.15,0.0223
25000000,313.15,0.0246
30000000,313.15,0.027
35000000,313.15,0.0296
40000000,313.15,0.0324
45000000,313.15,0.0354
50000000,313.15,0.0387
55000000,313.15,0.0422
60000000,313.15,0.046
100000,323.15,0.0105
1000000,323.15,0.0107
5000000,323.15,0.0116
10000000,323.15,0.0128
15000000,323.15,0.0141
20000000,323.15,0.0155
25000000,323.15,0.017
30000000,323.15,0.0185
35000000,323.15,0.0202
40000000,323.15,0.0221
45000000,323.15,0.024
50000000,323.15,0.0261
55000000,323.15,0.0283
60000000,323.15,0.0307
100000,333.15,0.0077
1000000,333.15,0.0078
5000000,333.15,0.0085
10000000,333.15,0.0093
15000000,333.15,0.0102
20000000,333.15,0.0111
25000000,333.15,0.0121
30000000,333.15,0.0131
35000000,333.15,0.0143
40000000,333.15,0.0154
45000000,333.15,0.0167
50000000,333.15,0.018
55000000,333.15,0.0194
60000000,333.15,0.0209
100000,343.15,0.0059
1000000,343.15,0.006
5000000,343.15,0.0065
10000000,343.15,0.007
15000000,343.15,0.0077
20000000,343.15,0.0083
25000000,343.15,0.009
30000000,343.15,0.0097
35000000,343.15,0.0105
40000000,343.15,0.0113
45000000,343.15,0.0122
50000000,343.15,0.0131
55000000,343.15,0.014
60000000,343.15,0.0151
100000,353.15,0.0046
1000000,353.15,0.0047
5000000,353.15,0.005
10000000,353.15,0.0055
15000000,353.15,0.0059
20000000,353.15,0.0064
25000000,353.15,0.007
30000000,353.15,0.0075
35000000,353.15,0.0081
40000000,353.15,0.0087
45000000,353.15,0.0094
50000000,353.15,0.0101
55000000,353.15,0.0108
60000000,353.15,0.0116
