p,T,viscosity,Phase
689473.3,310.926,0.0001415,liquid
1.38E+06,310.926,0.000143,liquid
2.07E+06,310.926,0.0001445,liquid
2.76E+06,310.926,0.000146,liquid
3.45E+06,310.926,0.0001472,liquid
4.14E+06,310.926,0.0001485,liquid
5.52E+06,310.926,0.0001512,liquid
6.89E+06,310.926,0.000154,liquid
8.62E+06,310.926,0.000157,liquid
1.03E+07,310.926,0.000161,liquid
1.21E+07,310.926,0.0001638,liquid
1.38E+07,310.926,0.0001675,liquid
1.72E+07,310.926,0.0001734,liquid
2.07E+07,310.926,0.0001795,liquid
2.41E+07,310.926,0.0001858,liquid
2.76E+07,310.926,0.000192,liquid
3.10E+07,310.926,0.0001976,liquid
3.45E+07,310.926,0.0002035,liquid
4.14E+07,310.926,0.000215,liquid
4.83E+07,310.926,0.000227,liquid
5.52E+07,310.926,0.0002375,liquid
6.21E+07,310.926,0.000248,liquid
6.89E+07,310.926,0.0002585,liquid
689473.3,327.592,0.0001205,liquid
1.38E+06,327.592,0.000122,liquid
2.07E+06,327.592,0.0001235,liquid
2.76E+06,327.592,0.000125,liquid
3.45E+06,327.592,0.0001265,liquid
4.14E+06,327.592,0.0001278,liquid
5.52E+06,327.592,0.0001305,liquid
6.89E+06,327.592,0.0001335,liquid
8.62E+06,327.592,0.0001363,liquid
1.03E+07,327.592,0.00014,liquid
1.21E+07,327.592,0.000143,liquid
1.38E+07,327.592,0.0001465,liquid
1.72E+07,327.592,0.0001525,liquid
2.07E+07,327.592,0.000159,liquid
2.41E+07,327.592,0.0001667,liquid
2.76E+07,327.592,0.0001705,liquid
3.10E+07,327.592,0.0001765,liquid
3.45E+07,327.592,0.000182,liquid
4.14E+07,327.592,0.000193,liquid
4.83E+07,327.592,0.000204,liquid
5.52E+07,327.592,0.000215,liquid
6.21E+07,327.592,0.000226,liquid
6.89E+07,327.592,0.000237,liquid
1.38E+06,344.259,0.000105,liquid
2.07E+06,344.259,0.0001065,liquid
2.76E+06,344.259,0.0001078,liquid
3.45E+06,344.259,0.0001092,liquid
4.14E+06,344.259,0.0001105,liquid
5.52E+06,344.259,0.0001135,liquid
6.89E+06,344.259,0.000116,liquid
8.62E+06,344.259,0.0001188,liquid
1.03E+07,344.259,0.0001225,liquid
1.21E+07,344.259,0.0001252,liquid
1.38E+07,344.259,0.000129,liquid
1.72E+07,344.259,0.0001344,liquid
2.07E+07,344.259,0.0001412,liquid
2.41E+07,344.259,0.0001465,liquid
2.76E+07,344.259,0.0001522,liquid
3.10E+07,344.259,0.0001578,liquid
3.45E+07,344.259,0.0001632,liquid
4.14E+07,344.259,0.0001735,liquid
4.83E+07,344.259,0.0001838,liquid
5.52E+07,344.259,0.000194,liquid
6.21E+07,344.259,0.000204,liquid
6.89E+07,344.259,0.000214,liquid
1.38E+06,360.926,8.85E-05,liquid
2.07E+06,360.926,9.00E-05,liquid
2.76E+06,360.926,9.15E-05,liquid
3.45E+06,360.926,9.30E-05,liquid
4.14E+06,360.926,9.45E-05,liquid
5.52E+06,360.926,9.75E-05,liquid
6.89E+06,360.926,0.0001005,liquid
8.62E+06,360.926,0.0001035,liquid
1.03E+07,360.926,0.0001075,liquid
1.21E+07,360.926,0.0001107,liquid
1.38E+07,360.926,0.000114,liquid
1.72E+07,360.926,0.00012,liquid
2.07E+07,360.926,0.000126,liquid
2.41E+07,360.926,0.000132,liquid
2.76E+07,360.926,0.0001375,liquid
3.10E+07,360.926,0.0001425,liquid
3.45E+07,360.926,0.000148,liquid
4.14E+07,360.926,0.000158,liquid
4.83E+07,360.926,0.0001676,liquid
5.52E+07,360.926,0.0001772,liquid
6.21E+07,360.926,0.0001865,liquid
6.89E+07,360.926,0.000196,liquid
2.07E+06,377.592,7.60E-05,liquid
2.76E+06,377.592,7.75E-05,liquid
3.45E+06,377.592,7.90E-05,liquid
4.14E+06,377.592,8.05E-05,liquid
5.52E+06,377.592,8.40E-05,liquid
6.89E+06,377.592,8.68E-05,liquid
8.62E+06,377.592,9.02E-05,liquid
1.03E+07,377.592,9.40E-05,liquid
1.21E+07,377.592,9.66E-05,liquid
1.38E+07,377.592,0.0001005,liquid
1.72E+07,377.592,0.0001065,liquid
2.07E+07,377.592,0.0001125,liquid
2.41E+07,377.592,0.000118,liquid
2.76E+07,377.592,0.0001233,liquid
3.10E+07,377.592,0.0001285,liquid
3.45E+07,377.592,0.0001337,liquid
4.14E+07,377.592,0.0001432,liquid
4.83E+07,377.592,0.0001528,liquid
5.52E+07,377.592,0.0001618,liquid
6.21E+07,377.592,0.0001705,liquid
6.89E+07,377.592,0.0001795,liquid
2.76E+06,394.259,6.15E-05,liquid
3.45E+06,394.259,6.40E-05,liquid
4.14E+06,394.259,6.65E-05,liquid
5.52E+06,394.259,7.05E-05,liquid
6.89E+06,394.259,7.40E-05,liquid
8.62E+06,394.259,7.80E-05,liquid
1.03E+07,394.259,8.20E-05,liquid
1.21E+07,394.259,8.50E-05,liquid
1.38E+07,394.259,8.87E-05,liquid
1.72E+07,394.259,9.48E-05,liquid
2.07E+07,394.259,0.000101,liquid
2.41E+07,394.259,0.0001065,liquid
2.76E+07,394.259,0.000112,liquid
3.10E+07,394.259,0.000117,liquid
3.45E+07,394.259,0.0001222,liquid
4.14E+07,394.259,0.0001315,liquid
4.83E+07,394.259,0.0001405,liquid
5.52E+07,394.259,0.0001495,liquid
6.21E+07,394.259,0.000158,liquid
6.89E+07,394.259,0.0001665,liquid
3.45E+06,410.926,5.10E-05,liquid
4.14E+06,410.926,5.35E-05,liquid
5.52E+06,410.926,5.90E-05,liquid
6.89E+06,410.926,6.30E-05,liquid
8.62E+06,410.926,6.78E-05,liquid
1.03E+07,410.926,7.15E-05,liquid
1.21E+07,410.926,7.50E-05,liquid
1.38E+07,410.926,7.85E-05,liquid
1.72E+07,410.926,8.45E-05,liquid
2.07E+07,410.926,9.05E-05,liquid
2.41E+07,410.926,9.62E-05,liquid
2.76E+07,410.926,0.0001015,liquid
3.10E+07,410.926,0.0001065,liquid
3.45E+07,410.926,0.0001115,liquid
4.14E+07,410.926,0.0001208,liquid
4.83E+07,410.926,0.0001293,liquid
5.52E+07,410.926,0.0001375,liquid
6.21E+07,410.926,0.0001455,liquid
6.89E+07,410.926,0.0001535,liquid
1.33E+07,323,0.0001497,liquid
1.80E+07,323,0.0001601,liquid
2.20E+07,323,0.0001694,liquid
2.69E+07,323,0.0001775,liquid
2.98E+07,323,0.0001857,liquid
3.19E+07,323,0.0001935,liquid
3.43E+07,323,0.0001962,liquid
3.45E+07,323,0.0001988,liquid
3.46E+07,323,0.0001967,liquid
3.72E+07,323,0.0001932,liquid
4.36E+07,323,0.0001961,liquid
5.23E+07,323,0.0002118,liquid
6.14E+07,323,0.0002281,liquid
6.84E+07,323,0.0002386,liquid
6.84E+07,323,0.000239,liquid
1.39E+07,348,0.0001212,liquid
2.12E+07,348,0.0001378,liquid
2.81E+07,348,0.0001454,liquid
3.48E+07,348,0.0001572,liquid
3.48E+07,348,0.0001576,liquid
4.14E+07,348,0.0001746,liquid
4.47E+07,348,0.000177,liquid
4.84E+07,348,0.0001879,liquid
4.84E+07,348,0.000185,liquid
5.18E+07,348,0.0001978,liquid
5.51E+07,348,0.000205,liquid
5.51E+07,348,0.0002052,liquid
5.85E+07,348,0.0001942,liquid
6.20E+07,348,0.0002005,liquid
6.21E+07,348,0.000202,liquid
6.56E+07,348,0.0002036,liquid
6.85E+07,348,0.0002056,liquid
6.92E+07,348,0.0002072,liquid
1.52E+07,378,0.0001063,liquid
1.72E+07,378,0.0001108,liquid
2.11E+07,378,0.0001169,liquid
2.12E+07,378,0.0001174,liquid
2.76E+07,378,0.0001256,liquid
2.76E+07,378,0.0001257,liquid
3.44E+07,378,0.0001342,liquid
3.46E+07,378,0.0001332,liquid
4.15E+07,378,0.0001462,liquid
4.83E+07,378,0.0001543,liquid
4.84E+07,378,0.0001557,liquid
5.52E+07,378,0.0001698,liquid
5.85E+07,378,0.0001722,liquid
6.21E+07,378,0.000178,liquid
6.38E+07,378,0.0001817,liquid
6.69E+07,378,0.0001883,liquid
6.91E+07,378,0.0001935,liquid
1.75E+07,398,9.71E-05,liquid
1.84E+07,398,9.98E-05,liquid
2.22E+07,398,0.0001048,liquid
2.23E+07,398,0.0001038,liquid
2.76E+07,398,0.0001098,liquid
3.45E+07,398,0.0001181,liquid
3.45E+07,398,0.0001187,liquid
4.14E+07,398,0.0001268,liquid
4.55E+07,398,0.0001326,liquid
4.81E+07,398,0.0001365,liquid
5.86E+07,398,0.0001483,liquid
6.22E+07,398,0.0001532,liquid
6.52E+07,398,0.0001592,liquid
6.89E+07,398,0.0001631,liquid
6.89E+07,398,0.0001628,liquid
1.42E+07,413,8.05E-05,liquid
1.69E+07,413,8.83E-05,liquid
2.17E+07,413,9.30E-05,liquid
2.76E+07,413,0.0001023,liquid
3.45E+07,413,0.0001097,liquid
4.16E+07,413,0.0001184,liquid
4.84E+07,413,0.0001251,liquid
5.51E+07,413,0.0001346,liquid
5.52E+07,413,0.0001349,liquid
6.23E+07,413,0.0001405,liquid
6.90E+07,413,0.0001495,liquid
6.90E+07,413,0.0001499,liquid
2.13E+07,428,7.82E-05,liquid
2.73E+07,428,9.12E-05,liquid
3.23E+07,428,0.0001005,liquid
3.79E+07,428,0.0001049,liquid
4.33E+07,428,0.0001093,liquid
4.86E+07,428,0.0001156,liquid
5.38E+07,428,0.0001193,liquid
5.86E+07,428,0.0001253,liquid
6.38E+07,428,0.0001314,liquid
6.91E+07,428,0.0001398,liquid
2.08E+07,443,7.29E-05,liquid
2.08E+07,443,7.29E-05,liquid
2.77E+07,443,8.82E-05,liquid
2.77E+07,443,8.80E-05,liquid
3.46E+07,443,9.41E-05,liquid
4.13E+07,443,0.0001023,liquid
4.82E+07,443,0.0001098,liquid
4.83E+07,443,0.0001088,liquid
5.51E+07,443,0.0001122,liquid
6.19E+07,443,0.000118,liquid
6.21E+07,443,0.0001173,liquid
6.90E+07,443,0.000123,liquid
6.91E+07,443,0.0001224,liquid
3.39E+07,300,0.0002214,liquid
3.07E+07,300,0.0002179,liquid
2.82E+07,300,0.0002129,liquid
2.48E+07,300,0.0002059,liquid
2.15E+07,300,0.0002013,liquid
1.78E+07,300,0.0001923,liquid
1.44E+07,300,0.0001882,liquid
1.03E+07,300,0.0001758,liquid
7.65E+06,300,0.0001708,liquid
4.82E+06,300,0.0001643,liquid
1.73E+06,300,0.0001578,liquid
3.00E+07,250,0.0003373,liquid
2.70E+07,250,0.0003273,liquid
2.46E+07,250,0.0003227,liquid
2.15E+07,250,0.0003162,liquid
1.79E+07,250,0.0003059,liquid
1.46E+07,250,0.0002993,liquid
1.18E+07,250,0.0002925,liquid
7.94E+06,250,0.0002836,liquid
5.12E+06,250,0.0002759,liquid
1.85E+06,250,0.0002671,liquid
3.10E+07,200,0.0006461,liquid
3.02E+07,200,0.0006327,liquid
2.79E+07,200,0.0006185,liquid
2.46E+07,200,0.000606,liquid
2.13E+07,200,0.000578,liquid
1.80E+07,200,0.0005738,liquid
1.44E+07,200,0.0005609,liquid
1.11E+07,200,0.0005501,liquid
7.99E+06,200,0.0005338,liquid
5.12E+06,200,0.0005191,liquid
2.03E+06,200,0.0005076,liquid
3.12E+07,180,0.0008807,liquid
2.81E+07,180,0.0008519,liquid
2.48E+07,180,0.0008356,liquid
2.12E+07,180,0.0008138,liquid
1.78E+07,180,0.0007979,liquid
1.44E+07,180,0.0007823,liquid
1.13E+07,180,0.0007608,liquid
8.20E+06,180,0.0007454,liquid
5.42E+06,180,0.0007299,liquid
2.18E+06,180,0.0007037,liquid
3.22E+07,160,0.0013818,liquid
3.01E+07,160,0.0013683,liquid
2.70E+07,160,0.0013178,liquid
2.45E+07,160,0.0012826,liquid
2.11E+07,160,0.0012485,liquid
1.70E+07,160,0.00123,liquid
1.44E+07,160,0.001196,liquid
1.15E+07,160,0.0011698,liquid
8.06E+06,160,0.0011303,liquid
4.67E+06,160,0.0010983,liquid
1.46E+06,160,0.0010734,liquid
2.91E+07,150,0.0018095,liquid
2.66E+07,150,0.0017859,liquid
2.41E+07,150,0.0017368,liquid
2.14E+07,150,0.0016632,liquid
1.78E+07,150,0.0016417,liquid
1.47E+07,150,0.0015624,liquid
7.96E+06,150,0.0015124,liquid
5.09E+06,150,0.0014438,liquid
1.77E+06,150,0.0014002,liquid
3.03E+07,140,0.0025654,liquid
2.77E+07,140,0.0024869,liquid
2.46E+07,140,0.0024403,liquid
2.13E+07,140,0.0023846,liquid
1.75E+07,140,0.0023201,liquid
1.55E+07,140,0.002264,liquid
1.28E+07,140,0.0021997,liquid
1.02E+07,140,0.0021174,liquid
7.42E+06,140,0.0020553,liquid
4.68E+06,140,0.0020125,liquid
1.52E+06,140,0.0019524,liquid
1.38E+06,310.93,0.0001486,liquid
2.76E+06,310.93,0.0001506,liquid
4.14E+06,310.93,0.000153,liquid
6.89E+06,310.93,0.0001565,liquid
1.03E+07,310.93,0.0001608,liquid
1.38E+07,310.93,0.0001637,liquid
1.38E+06,327.59,0.0001248,liquid
2.76E+06,327.59,0.0001272,liquid
4.14E+06,327.59,0.0001295,liquid
6.89E+06,327.59,0.0001332,liquid
1.03E+07,327.59,0.000137,liquid
1.38E+07,327.59,0.0001398,liquid
1.38E+06,344.26,0.0001034,liquid
2.76E+06,344.26,0.0001058,liquid
4.14E+06,344.26,0.0001081,liquid
6.89E+06,344.26,0.000112,liquid
1.03E+07,344.26,0.0001165,liquid
1.38E+07,344.26,0.000119,liquid
1.38E+06,360.93,8.36E-05,liquid
2.76E+06,360.93,8.62E-05,liquid
4.14E+06,360.93,8.87E-05,liquid
6.89E+06,360.93,9.30E-05,liquid
1.03E+07,360.93,9.79E-05,liquid
1.38E+07,360.93,0.0001009,liquid
