p,T,viscosity,Phase
100000,279.85,0.0012703,liquid
100000,281.15,0.0012226,liquid
1960000,281.15,0.0012608,liquid
2000000,281.15,0.0012623,liquid
2200000,281.15,0.0012665,liquid
2300000,281.15,0.0012733,liquid
100000,283.15,0.0011725,liquid
5000000,283.15,0.0012624,liquid
5490000,283.15,0.0012652,liquid
5690000,283.15,0.0012693,liquid
5880000,283.15,0.0012797,liquid
5980000,283.15,0.0012833,liquid
6080000,283.15,0.0012867,liquid
100000,286.65,0.0011025,liquid
5000000,286.65,0.001178,liquid
9900000,286.65,0.0012566,liquid
11380000,286.65,0.0012759,liquid
11570000,286.65,0.0012786,liquid
11750000,286.65,0.0012803,liquid
11870000,286.65,0.001298,liquid
100000,288.15,0.0010679,liquid
10000000,288.15,0.0012188,liquid
13880000,288.15,0.0012838,liquid
14320000,288.15,0.0012886,liquid
14410000,288.15,0.0012962,liquid
14810000,288.15,0.0013057,liquid
15300000,288.15,0.0013182,liquid
100000,290.65,0.0010202,liquid
10000000,290.65,0.0011714,liquid
14810000,290.65,0.0012543,liquid
15000000,290.65,0.0012553,liquid
16770000,290.65,0.0012878,liquid
17700000,290.65,0.0013002,liquid
17750000,290.65,0.0013076,liquid
100000,293.15,0.0009716,liquid
10000000,293.15,0.0011092,liquid
20000000,293.15,0.0012521,liquid
20690000,293.15,0.0012631,liquid
21670000,293.15,0.0012783,liquid
22650000,293.15,0.001308,liquid
23140000,293.15,0.0013144,liquid
23440000,293.15,0.0013215,liquid
23540000,293.15,0.0013267,liquid
100000,298.15,0.0008942,liquid
10000000,298.15,0.0010223,liquid
20000000,298.15,0.0011532,liquid
29520000,298.15,0.0012806,liquid
30500000,298.15,0.0013064,liquid
31480000,298.15,0.0013201,liquid
31950000,298.15,0.0013318,liquid
32460000,298.15,0.001343,liquid
32560000,298.15,0.0013515,liquid
100000,308.15,0.0007538,liquid
5000000,308.15,0.0008084,liquid
10000000,308.15,0.0008551,liquid
20000000,308.15,0.0009814,liquid
30000000,308.15,0.0010964,liquid
40000000,308.15,0.0012123,liquid
50000000,308.15,0.0013298,liquid
100000,323.15,0.000608,liquid
10000000,323.15,0.0007017,liquid
20000000,323.15,0.0007903,liquid
30000000,323.15,0.0008808,liquid
40000000,323.15,0.0009708,liquid
50000000,323.15,0.0010572,liquid
60000000,323.15,0.0011574,liquid
100000,348.15,0.000442,liquid
5000000,348.15,0.0004744,liquid
10000000,348.15,0.0005058,liquid
20000000,348.15,0.000573,liquid
30000000,348.15,0.0006375,liquid
40000000,348.15,0.0007032,liquid
50000000,348.15,0.0007676,liquid
60000000,348.15,0.0008314,liquid
160000,363.15,0.0003724,liquid
500000,373.15,0.0003329,liquid
1000000,373.15,0.0003357,liquid
1080000,373.15,0.000336,liquid
1570000,373.15,0.000338,liquid
2000000,373.15,0.0003408,liquid
3000000,373.15,0.0003462,liquid
5000000,373.15,0.0003564,liquid
10000000,373.15,0.0003783,liquid
20000000,373.15,0.000427,liquid
30000000,373.15,0.0004744,liquid
40000000,373.15,0.0005201,liquid
50000000,373.15,0.0005691,liquid
60000000,373.15,0.0006184,liquid
500000,398.15,0.0002488,liquid
1000000,398.15,0.000252,liquid
1080000,398.15,0.0002524,liquid
1570000,398.15,0.0002539,liquid
3000000,398.15,0.0002627,liquid
5000000,398.15,0.0002696,liquid
10000000,398.15,0.000288,liquid
20000000,398.15,0.0003269,liquid
30000000,398.15,0.0003675,liquid
40000000,398.15,0.0004076,liquid
50000000,398.15,0.0004474,liquid
60000000,398.15,0.0004845,liquid
610000,423.15,0.0002016,liquid
710000,423.15,0.0002018,liquid
820000,423.15,0.0002023,liquid
920000,423.15,0.0002028,liquid
1000000,423.15,0.0002031,liquid
1080000,423.15,0.0002035,liquid
1570000,423.15,0.0002069,liquid
2000000,423.15,0.0002069,liquid
3000000,423.15,0.0002114,liquid
3040000,423.15,0.0002111,liquid
5000000,423.15,0.0002178,liquid
10000000,423.15,0.0002356,liquid
20000000,423.15,0.0002702,liquid
30000000,423.15,0.0003029,liquid
40000000,423.15,0.0003385,liquid
50000000,423.15,0.0003714,liquid
60000000,423.15,0.0004027,liquid
1000000,448.15,0.0001609,liquid
1080000,448.15,0.0001614,liquid
1570000,448.15,0.0001641,liquid
2000000,448.15,0.0001655,liquid
2060000,448.15,0.0001657,liquid
3000000,448.15,0.0001694,liquid
3040000,448.15,0.0001696,liquid
5000000,448.15,0.0001768,liquid
10000000,448.15,0.0001931,liquid
20000000,448.15,0.0002249,liquid
30000000,448.15,0.0002545,liquid
40000000,448.15,0.0002814,liquid
50000000,448.15,0.0003087,liquid
60000000,448.15,0.000337,liquid
1370000,473.15,0.0001332,liquid
1570000,473.15,0.0001344,liquid
2000000,473.15,0.0001362,liquid
2060000,473.15,0.0001364,liquid
3000000,473.15,0.0001405,liquid
3040000,473.15,0.0001407,liquid
5000000,473.15,0.0001467,liquid
10000000,473.15,0.0001613,liquid
15000000,473.15,0.0001775,liquid
20000000,473.15,0.0001903,liquid
30000000,473.15,0.0002161,liquid
40000000,473.15,0.0002428,liquid
50000000,473.15,0.0002694,liquid
60000000,473.15,0.0002932,liquid
2000000,498.15,0.0001103,liquid
2060000,498.15,0.0001106,liquid
2550000,498.15,0.0001132,liquid
3000000,498.15,0.0001154,liquid
3040000,498.15,0.0001156,liquid
4000000,498.15,0.0001198,liquid
4500000,498.15,0.0001218,liquid
5000000,498.15,0.0001237,liquid
6000000,498.15,0.0001271,liquid
8000000,498.15,0.0001336,liquid
10000000,498.15,0.0001405,liquid
15000000,498.15,0.0001547,liquid
20000000,498.15,0.0001674,liquid
30000000,498.15,0.0001911,liquid
40000000,498.15,0.0002143,liquid
50000000,498.15,0.0002359,liquid
60000000,498.15,0.0002574,liquid
3000000,523.15,8.9e-5,liquid
4000000,523.15,9.55e-5,liquid
5000000,523.15,9.95e-5,liquid
5000000,523.15,9.96e-5,liquid
6000000,523.15,0.000103,liquid
8000000,523.15,0.0001108,liquid
10000000,523.15,0.0001178,liquid
15000000,523.15,0.0001326,liquid
20000000,523.15,0.0001452,liquid
30000000,523.15,0.0001677,liquid
40000000,523.15,0.000189,liquid
50000000,523.15,0.0002085,liquid
60000000,523.15,0.0002282,liquid
4000000,548.15,6.5e-5,liquid
4000000,548.15,6.52e-5,liquid
4500000,548.15,7.04e-5,liquid
5000000,548.15,7.48e-5,liquid
5000000,548.15,7.68e-5,liquid
6000000,548.15,8.06e-5,liquid
6000000,548.15,8.26e-5,liquid
