p,T,Viscosity,Phase
100000,262.99,0.0006384,liquid
100000,262.99,0.0006388,liquid
3100000,262.99,0.0006562,liquid
5600000,262.99,0.0006709,liquid
8100000,262.99,0.0006858,liquid
10800000,262.99,0.0007025,liquid
25800000,262.99,0.0007943,liquid
50800000,262.99,0.0009576,liquid
75700000,262.99,0.0011362,liquid
100500000,262.99,0.0013301,liquid
125500000,262.99,0.0015429,liquid
150500000,262.99,0.0017779,liquid
175500000,262.99,0.0020319,liquid
200200000,262.99,0.0023071,liquid
100000,262.93,0.0006392,liquid
100000,262.93,0.0006393,liquid
3100000,262.93,0.0006574,liquid
5600000,262.93,0.0006719,liquid
7900000,262.93,0.0006858,liquid
10100000,262.93,0.0006987,liquid
25800000,262.93,0.000795,liquid
50800000,262.93,0.0009583,liquid
75700000,262.93,0.0011371,liquid
100700000,262.93,0.001333,liquid
125800000,262.93,0.0015462,liquid
150800000,262.93,0.0017819,liquid
175800000,262.93,0.0020402,liquid
200800000,262.93,0.0023219,liquid
225900000,262.93,0.0026295,liquid
250900000,262.93,0.0029667,liquid
275800000,262.93,0.003333,liquid
300600000,262.93,0.0037251,liquid
100000,263.03,0.0006386,liquid
100000,263.03,0.000639,liquid
10600000,263.03,0.0007005,liquid
20600000,263.03,0.0007608,liquid
30600000,263.03,0.0008231,liquid
40500000,263.03,0.0008873,liquid
50500000,263.03,0.0009555,liquid
60500000,263.03,0.0010243,liquid
70500000,263.03,0.0010955,liquid
80600000,263.03,0.0011709,liquid
90400000,263.03,0.0012457,liquid
100400000,263.03,0.0013265,liquid
110500000,263.03,0.0014097,liquid
120500000,263.03,0.0014959,liquid
130500000,263.03,0.0015851,liquid
140400000,263.03,0.001677,liquid
150400000,263.03,0.0017737,liquid
160500000,263.03,0.0018742,liquid
170500000,263.03,0.0019766,liquid
180400000,263.03,0.002083,liquid
190300000,263.03,0.0021927,liquid
200200000,263.03,0.0022705,liquid
100000,268.01,0.0006016,liquid
