p,T,viscosity,Phase
1378947.00,310.926,0.0007265,liquid
2068420,310.926,0.000732,liquid
2757893,310.926,0.0007367,liquid
3447366,310.926,0.000745,liquid
4136840,310.926,0.0007525,liquid
5515787,310.926,0.000769,liquid
6894733,310.926,0.000785,liquid
8618416,310.926,0.0008,liquid
10342100,310.926,0.00082,liquid
12065780,310.926,0.000838,liquid
13789470,310.926,0.000855,liquid
17236830,310.926,0.000895,liquid
20684200,310.926,0.000932,liquid
24131570,310.926,0.000958,liquid
27578930,310.926,0.001002,liquid
31026300,310.926,0.00104,liquid
34473660,310.926,0.00108,liquid
41368400,310.926,0.001152,liquid
48263130,310.926,0.001226,liquid
55157860,310.926,0.001302,liquid
1378947,344.259,0.000491,liquid
2068420,344.259,0.0004945,liquid
2757893,344.259,0.0005,liquid
3447366,344.259,0.000504,liquid
4136840,344.259,0.0005095,liquid
5515787,344.259,0.000519,liquid
6894733,344.259,0.00053,liquid
8618416,344.259,0.00054,liquid
10342100,344.259,0.000554,liquid
12065780,344.259,0.000565,liquid
13789470,344.259,0.000576,liquid
17236830,344.259,0.0006,liquid
20684200,344.259,0.000625,liquid
24131570,344.259,0.00065,liquid
27578930,344.259,0.000673,liquid
31026300,344.259,0.000699,liquid
34473660,344.259,0.000724,liquid
41368400,344.259,0.000773,liquid
48263130,344.259,0.000822,liquid
55157860,344.259,0.000873,liquid
1378947,377.592,0.000358,liquid
2068420,377.592,0.000362,liquid
2757893,377.592,0.000365,liquid
3447366,377.592,0.00037,liquid
4136840,377.592,0.000376,liquid
5515787,377.592,0.000379,liquid
6894733,377.592,0.00039,liquid
8618416,377.592,0.000398,liquid
10342100,377.592,0.0004075,liquid
12065780,377.592,0.000416,liquid
13789470,377.592,0.000423,liquid
17236830,377.592,0.0004425,liquid
20684200,377.592,0.00046,liquid
24131570,377.592,0.000479,liquid
27578930,377.592,0.000496,liquid
31026300,377.592,0.0005125,liquid
34473660,377.592,0.000532,liquid
41368400,377.592,0.0005685,liquid
48263130,377.592,0.0006,liquid
55157860,377.592,0.000635,liquid
1378947,410.926,0.000272,liquid
2068420,410.926,0.000274,liquid
2757893,410.926,0.000279,liquid
