p,T,viscosity,Phase
6020000,304.9,0.0013482,liquid
8050000,303.4,0.001365,liquid
10020000,303.3,0.0013937,liquid
5990000,314.5,0.0011351,liquid
8000000,313.4,0.0011623,liquid
10020000,313.3,0.0011836,liquid
6050000,323.4,0.0009748,liquid
8010000,323.1,0.0010068,liquid
10000000,323.4,0.0010208,liquid
6010000,334.1,0.0008555,liquid
8030000,333.3,0.0008787,liquid
10000000,333.4,0.0008918,liquid
5990000,343.3,0.0007562,liquid
8070000,343.2,0.0007787,liquid
10010000,343.3,0.00079,liquid
6080000,353.4,0.0006746,liquid
8020000,353.6,0.0006919,liquid
9980000,353.4,0.000703,liquid
6040000,364.0,0.0006028,liquid
8020000,363.7,0.0006209,liquid
10050000,363.3,0.0006332,liquid
6000000,374.0,0.0005462,liquid
8020000,373.9,0.0005622,liquid
10070000,373.1,0.0005743,liquid
6010000,383.0,0.0005011,liquid
8050000,383.4,0.0005137,liquid
10000000,383.2,0.000523,liquid
6080000,393.1,0.0004584,liquid
8030000,393.6,0.0004694,liquid
10020000,393.0,0.0004798,liquid
6040000,403.0,0.0004213,liquid
8020000,404.1,0.0004304,liquid
10040000,403.1,0.0004407,liquid
6080000,413.2,0.0003885,liquid
7990000,413.7,0.0003987,liquid
10010000,412.9,0.0004076,liquid
6080000,423.0,0.0003581,liquid
8050000,423.9,0.0003686,liquid
10000000,423.4,0.0003765,liquid
6010000,433.2,0.0003334,liquid
8000000,433.3,0.0003405,liquid
10020000,432.9,0.0003504,liquid
6020000,443.5,0.0003092,liquid
8010000,443.5,0.0003152,liquid
10050000,443.2,0.0003257,liquid
6020000,453.3,0.0002855,liquid
8040000,454.0,0.0002936,liquid
9950000,453.3,0.0003036,liquid
6040000,463.4,0.0002664,liquid
8020000,464.1,0.0002738,liquid
10010000,463.3,0.0002839,liquid
6040000,473.4,0.000251,liquid
8010000,473.5,0.0002525,liquid
10050000,473.3,0.0002657,liquid
6050000,483.4,0.0002305,liquid
8080000,483.4,0.0002405,liquid
10000000,483.4,0.0002489,liquid
6040000,493.4,0.000216,liquid
8010000,493.4,0.0002247,liquid
10050000,493.2,0.0002338,liquid
