p,T,viscosity,Phase
100000,293.15,0.0004151,liquid
1000000,293.15,0.0004202,liquid
5000000,293.15,0.0004354,liquid
10000000,293.15,0.0004579,liquid
20000000,293.15,0.0005013,liquid
30000000,293.15,0.0005459,liquid
40000000,293.15,0.000595,liquid
50000000,293.15,0.0006406,liquid
60000000,293.15,0.0006927,liquid
70000000,293.15,0.0007446,liquid
80000000,293.15,0.0007965,liquid
100000000,293.15,0.0009106,liquid
120000000,293.15,0.0010284,liquid
140000000,293.15,0.0011602,liquid
100000,298.15,0.0003914,liquid
1000000,298.15,0.0003962,liquid
5000000,298.15,0.0004142,liquid
10000000,298.15,0.0004329,liquid
20000000,298.15,0.0004756,liquid
30000000,298.15,0.0005175,liquid
40000000,298.15,0.0005613,liquid
50000000,298.15,0.0006081,liquid
60000000,298.15,0.0006535,liquid
70000000,298.15,0.0007026,liquid
80000000,298.15,0.0007519,liquid
100000000,298.15,0.0008572,liquid
120000000,298.15,0.000972,liquid
140000000,298.15,0.0010889,liquid
100000,313.15,0.0003379,liquid
1000000,313.15,0.0003412,liquid
5000000,313.15,0.000354,liquid
10000000,313.15,0.0003735,liquid
20000000,313.15,0.0004074,liquid
30000000,313.15,0.0004462,liquid
40000000,313.15,0.0004806,liquid
50000000,313.15,0.0005208,liquid
60000000,313.15,0.0005563,liquid
70000000,313.15,0.0005992,liquid
80000000,313.15,0.00064,liquid
100000000,313.15,0.0007259,liquid
120000000,313.15,0.0008176,liquid
140000000,313.15,0.0009137,liquid
100000,333.15,0.0002821,liquid
1000000,333.15,0.0002844,liquid
5000000,333.15,0.0002965,liquid
10000000,333.15,0.0003121,liquid
20000000,333.15,0.0003415,liquid
30000000,333.15,0.0003746,liquid
40000000,333.15,0.0004061,liquid
50000000,333.15,0.0004355,liquid
60000000,333.15,0.0004681,liquid
70000000,333.15,0.0005022,liquid
80000000,333.15,0.0005337,liquid
100000000,333.15,0.000603,liquid
120000000,333.15,0.0006736,liquid
140000000,333.15,0.0007509,liquid
100000,353.15,0.0002406,liquid
1000000,353.15,0.0002435,liquid
5000000,353.15,0.0002549,liquid
10000000,353.15,0.0002672,liquid
20000000,353.15,0.0002957,liquid
30000000,353.15,0.0003216,liquid
40000000,353.15,0.0003493,liquid
50000000,353.15,0.000373,liquid
60000000,353.15,0.0004019,liquid
70000000,353.15,0.0004304,liquid
80000000,353.15,0.000457,liquid
100000000,353.15,0.0005119,liquid
120000000,353.15,0.0005735,liquid
140000000,353.15,0.0006335,liquid
100000,363.15,0.0002224,liquid
1000000,363.15,0.0002254,liquid
5000000,363.15,0.0002374,liquid
10000000,363.15,0.0002493,liquid
20000000,363.15,0.0002757,liquid
30000000,363.15,0.0002996,liquid
40000000,363.15,0.0003252,liquid
50000000,363.15,0.0003504,liquid
60000000,363.15,0.0003754,liquid
70000000,363.15,0.0003978,liquid
80000000,363.15,0.0004243,liquid
100000000,363.15,0.0004782,liquid
120000000,363.15,0.0005314,liquid
140000000,363.15,0.0005865,liquid
100000,298.15,0.000391,liquid
100000,298.15,0.00039,liquid
100000,298.15,0.000391,liquid
7200000,298.15,0.000422,liquid
7340000,298.15,0.000423,liquid
14510000,298.15,0.000451,liquid
20790000,298.15,0.000477,liquid
27960000,298.15,0.00051,liquid
34710000,298.15,0.00054,liquid
42160000,298.15,0.000572,liquid
47680000,298.15,0.000598,liquid
49190000,298.15,0.000604,liquid
55810000,298.15,0.000632,liquid
61530000,298.15,0.000661,liquid
62500000,298.15,0.000661,liquid
69250000,298.15,0.0007,liquid
70010000,298.15,0.000701,liquid
76220000,298.15,0.000732,liquid
82910000,298.15,0.000765,liquid
83900000,298.15,0.000766,liquid
90220000,298.15,0.000802,liquid
97390000,298.15,0.000741,liquid
102830000,298.15,0.000871,liquid
109520000,298.15,0.000909,liquid
100000,303.15,0.000369,liquid
100000,303.15,0.000369,liquid
7550000,303.15,0.0004,liquid
14030000,303.15,0.000428,liquid
21300000,303.15,0.000455,liquid
27820000,303.15,0.000486,liquid
35710000,303.15,0.000517,liquid
42230000,303.15,0.000544,liquid
49120000,303.15,0.000576,liquid
55600000,303.15,0.0006,liquid
