p,T,viscosity,AAD,Phase
1080000.00,298.36,0.003109,0.010810334,liquid
10010000,298.36,0.003497,0.016889524,liquid
21090000,298.36,0.004032,0.048225025,liquid
30500000,298.36,0.004534,0.073509621,liquid
1060000,298.36,0.003107,0.010502217,liquid
1250000,323.21,0.001872,0.039245467,liquid
21100000,323.21,0.002387,0.02108795,liquid
40990000,323.21,0.002957,0.089785483,liquid
60490000,323.21,0.003598,0.156986606,liquid
80320000,323.21,0.004381,0.215992613,liquid
102810000,323.21,0.00508,0.368993877,liquid
1090000,323.21,0.001874,0.042744923,liquid
1010000,348.2,0.001255,0.082628635,liquid
20050000,348.2,0.00157,0.02379781,liquid
40520000,348.2,0.001939,0.043661878,liquid
60680000,348.2,0.002356,0.10604286,liquid
80450000,348.2,0.002806,0.172423818,liquid
100940000,348.2,0.003278,0.262517371,liquid
1070000,348.2,0.001251,0.078814566,liquid
1240000,373.12,0.00091,0.121238564,liquid
20080000,373.12,0.001136,0.068495122,liquid
40700000,373.12,0.001397,0.005134781,liquid
60760000,373.12,0.001678,0.055463197,liquid
80760000,373.12,0.001988,0.116257611,liquid
100220000,373.12,0.002303,0.185884304,liquid
1210000,373.12,0.000911,0.12262286,liquid
1230000,398.21,0.000693,0.158335345,liquid
20450000,398.21,0.000872,0.109986711,liquid
40750000,398.21,0.001066,0.052617046,liquid
60560000,398.21,0.001265,0.007376055,liquid
80390000,398.21,0.001488,0.062603934,liquid
100460000,398.21,0.00171,0.135346843,liquid
1670000,398.21,0.000694,0.153564918,liquid
1420000,423.26,0.000544,0.180816207,liquid
20790000,423.26,0.000691,0.138129265,liquid
40900000,423.26,0.000845,0.088066862,liquid
60040000,423.26,0.000998,0.038063784,liquid
80490000,423.26,0.001171,0.017435109,liquid
100020000,423.26,0.001348,0.071708637,liquid
1360000,423.26,0.000542,0.178608745,liquid
1170000,448.23,0.000438,0.201483767,liquid
20220000,448.23,0.000559,0.162523102,liquid
40500000,448.23,0.000689,0.119313636,liquid
60460000,448.23,0.00082,0.073086004,liquid
80430000,448.23,0.000958,0.025711299,liquid
100270000,448.23,0.001098,0.027634553,liquid
1100000,448.23,0.000437,0.200619361,liquid
1250000,473.54,0.000359,0.212495906,liquid
20770000,473.54,0.000469,0.181838238,liquid
40980000,473.54,0.000579,0.142790665,liquid
60770000,473.54,0.000688,0.101328424,liquid
80500000,473.54,0.000803,0.06113881,liquid
101080000,473.54,0.000924,0.012265415,liquid
1270000,473.54,0.00036,0.214400773,liquid
970000,298.61,0.003143,0.029177144,liquid
10340000,298.61,0.003562,0.002508996,liquid
20570000,298.61,0.004041,0.031228893,liquid
30370000,298.61,0.004588,0.052236437,liquid
990000,323.22,0.001878,0.046510531,liquid
20960000,323.22,0.002429,0.001184056,liquid
42100000,323.22,0.003007,0.087636749,liquid
61170000,323.22,0.003666,0.145172009,liquid
81170000,323.22,0.004471,0.203604549,liquid
610000,348.2,0.001275,0.102768667,liquid
20370000,348.2,0.001595,0.034716609,liquid
40780000,348.2,0.00197,0.030714608,liquid
62000000,348.2,0.002398,0.104172186,liquid
80380000,348.2,0.002813,0.168566981,liquid
1370000,373.25,0.000926,0.136157211,liquid
19850000,373.25,0.001148,0.082813607,liquid
40190000,373.25,0.001399,0.014690842,liquid
59970000,373.25,0.001692,0.035228594,liquid
81310000,373.25,0.001995,0.116937319,liquid
1050000,398.28,0.000697,0.166278293,liquid
21190000,398.28,0.000879,0.108766612,liquid
41290000,398.28,0.001082,0.061201404,liquid
59990000,398.28,0.001267,0.001495437,liquid
80670000,398.28,0.001498,0.057716641,liquid
