p,T,viscosity,Phase
506620.00,348.15,0.000194,liquid
1013200,348.15,0.0001952,liquid
1519900,348.15,0.0001967,liquid
2026500,348.15,0.0001982,liquid
2533100,348.15,0.0001996,liquid
2837100,348.15,0.0002,liquid
3001200,348.15,0.0002007,liquid
3546400,348.15,0.000202,liquid
4053000,348.15,0.000203,liquid
5066200,348.15,0.0002058,liquid
6079500,348.15,0.0002084,liquid
8106000,348.15,0.0002134,liquid
10132000,348.15,0.0002185,liquid
15199000,348.15,0.0002308,liquid
20265000,348.15,0.0002435,liquid
25331000,348.15,0.0002556,liquid
30398000,348.15,0.000268,liquid
40530000,348.15,0.0002986,liquid
50662000,348.15,0.0003199,liquid
506620,373.15,0.0001598,liquid
1013200,373.15,0.0001605,liquid
1519900,373.15,0.0001619,liquid
2026500,373.15,0.000163,liquid
2533100,373.15,0.0001643,liquid
2837100,373.15,0.000165,liquid
3001200,373.15,0.0001656,liquid
3546400,373.15,0.0001668,liquid
4053000,373.15,0.000168,liquid
5066200,373.15,0.0001704,liquid
6079500,373.15,0.000173,liquid
8106000,373.15,0.0001784,liquid
10132000,373.15,0.0001832,liquid
15199000,373.15,0.0001947,liquid
20265000,373.15,0.0002061,liquid
25331000,373.15,0.0002173,liquid
30398000,373.15,0.0002289,liquid
40530000,373.15,0.0002514,liquid
50662000,373.15,0.0002744,liquid
506620,398.15,0.000131,liquid
1013200,398.15,0.0001323,liquid
1519900,398.15,0.0001336,liquid
2026500,398.15,0.0001348,liquid
2533100,398.15,0.000136,liquid
2837100,398.15,0.000137,liquid
3001200,398.15,0.0001375,liquid
3546400,398.15,0.0001383,liquid
4053000,398.15,0.0001395,liquid
5066200,398.15,0.000142,liquid
6079500,398.15,0.0001442,liquid
8106000,398.15,0.0001491,liquid
10132000,398.15,0.0001533,liquid
15199000,398.15,0.0001647,liquid
20265000,398.15,0.000176,liquid
25331000,398.15,0.0001868,liquid
30398000,398.15,0.0001978,liquid
40530000,398.15,0.000219,liquid
50662000,398.15,0.00024,liquid
1013200,423.15,0.0001084,liquid
1519900,423.15,0.0001094,liquid
2026500,423.15,0.0001111,liquid
2533100,423.15,0.0001124,liquid
2837100,423.15,0.0001128,liquid
3001200,423.15,0.0001133,liquid
3546400,423.15,0.0001146,liquid
4053000,423.15,0.000116,liquid
5066200,423.15,0.0001183,liquid
6079500,423.15,0.0001204,liquid
8106000,423.15,0.0001258,liquid
10132000,423.15,0.0001292,liquid
15199000,423.15,0.0001403,liquid
20265000,423.15,0.000151,liquid
25331000,423.15,0.0001617,liquid
30398000,423.15,0.0001724,liquid
40530000,423.15,0.0001925,liquid
50662000,423.15,0.000212,liquid
1519900,448.15,8.61E-05,liquid
2026500,448.15,8.77E-05,liquid
2533100,448.15,8.92E-05,liquid
2837100,448.15,9.01E-05,liquid
3001200,448.15,9.05E-05,liquid
3546400,448.15,9.22E-05,liquid
4053000,448.15,9.36E-05,liquid
5066200,448.15,9.60E-05,liquid
6079500,448.15,9.88E-05,liquid
8106000,448.15,0.0001038,liquid
10132000,448.15,0.0001084,liquid
15199000,448.15,0.0001198,liquid
20265000,448.15,0.0001296,liquid
25331000,448.15,0.0001395,liquid
30398000,448.15,0.0001495,liquid
40530000,448.15,0.0001684,liquid
50662000,448.15,0.0001864,liquid
2026500,473.15,6.65E-05,liquid
2533100,473.15,6.87E-05,liquid
