p,T,viscosity,Phase
2.157463e6,558.15,5.54e-5,liquid
2.44872e6,558.15,5.64e-5,liquid
2.941995e6,558.15,6.02e-5,liquid
3.432327e6,558.15,6.29e-5,liquid
3.92266e6,558.15,6.53e-5,liquid
4.903325e6,558.15,6.94e-5,liquid
5.88399e6,558.15,7.32e-5,liquid
7.84532e6,558.15,7.95e-5,liquid
9.806649e6,558.15,8.575e-5,liquid
1.470997e7,558.15,9.76e-5,liquid
1.96133e7,558.15,0.0001088,liquid
2.451663e7,558.15,0.0001187,liquid
2.941995e7,558.15,0.0001282,liquid
3.92266e7,558.15,0.0001465,liquid
4.903325e7,558.15,0.0001643,liquid
1.96133e6,548.15,5.275e-5,liquid
2.157463e6,548.15,5.54e-5,liquid
2.44872e6,548.15,5.64e-5,liquid
2.941995e6,548.15,6.02e-5,liquid
3.432327e6,548.15,6.29e-5,liquid
3.92266e6,548.15,6.53e-5,liquid
4.903325e6,548.15,6.94e-5,liquid
5.88399e6,548.15,7.32e-5,liquid
7.84532e6,548.15,7.95e-5,liquid
9.806649e6,548.15,8.575e-5,liquid
1.470997e7,548.15,9.76e-5,liquid
1.96133e7,548.15,0.0001088,liquid
2.451663e7,548.15,0.0001187,liquid
2.941995e7,548.15,0.0001282,liquid
3.92266e7,548.15,0.0001465,liquid
4.903325e7,548.15,0.0001643,liquid
98066.5,323.15,0.000383,liquid
490332.5,323.15,0.000385,liquid
980665.0,323.15,0.0003873,liquid
1.470997e6,323.15,0.0003895,liquid
1.96133e6,323.15,0.0003917,liquid
2.157463e6,323.15,0.000393,liquid
2.44872e6,323.15,0.000394,liquid
2.941995e6,323.15,0.0003964,liquid
3.432327e6,323.15,0.0003986,liquid
3.92266e6,323.15,0.0004006,liquid
4.903325e6,323.15,0.0004052,liquid
5.88399e6,323.15,0.0004097,liquid
7.84532e6,323.15,0.000418,liquid
9.806649e6,323.15,0.0004267,liquid
1.470997e7,323.15,0.0004487,liquid
1.96133e7,323.15,0.0004718,liquid
2.451663e7,323.15,0.0004958,liquid
98066.5,348.15,0.0003043,liquid
490332.5,348.15,0.0003062,liquid
980665.0,348.15,0.0003079,liquid
1.470997e6,348.15,0.00031,liquid
1.96133e6,348.15,0.0003117,liquid
2.157463e6,348.15,0.0003128,liquid
2.44872e6,348.15,0.0003138,liquid
2.941995e6,348.15,0.0003156,liquid
3.432327e6,348.15,0.0003174,liquid
3.92266e6,348.15,0.0003193,liquid
4.903325e6,348.15,0.0003233,liquid
5.88399e6,348.15,0.0003271,liquid
7.84532e6,348.15,0.000335,liquid
9.806649e6,348.15,0.0003429,liquid
1.470997e7,348.15,0.0003624,liquid
1.96133e7,348.15,0.0003826,liquid
2.451663e7,348.15,0.0004025,liquid
2.941995e7,348.15,0.0004231,liquid
3.92266e7,348.15,0.0004658,liquid
4.903325e7,348.15,0.0005071,liquid
98066.5,373.15,0.000244,liquid
490332.5,373.15,0.0002453,liquid
980665.0,373.15,0.000247,liquid
1.470997e6,373.15,0.000249,liquid
1.96133e6,373.15,0.0002506,liquid
2.157463e6,373.15,0.0002512,liquid
2.44872e6,373.15,0.0002524,liquid
2.941995e6,373.15,0.000254,liquid
3.432327e6,373.15,0.0002557,liquid
3.92266e6,373.15,0.0002574,liquid
4.903325e6,373.15,0.000261,liquid
5.88399e6,373.15,0.0002645,liquid
7.84532e6,373.15,0.0002716,liquid
9.806649e6,373.15,0.0002786,liquid
1.470997e7,373.15,0.0002967,liquid
1.96133e7,373.15,0.0003152,liquid
2.451663e7,373.15,0.0003338,liquid
2.941995e7,373.15,0.0003532,liquid
3.92266e7,373.15,0.0003886,liquid
4.903325e7,373.15,0.0004265,liquid
490332.5,398.15,0.0001998,liquid
980665.0,398.15,0.0002014,liquid
1.470997e6,398.15,0.0002033,liquid
1.96133e6,398.15,0.0002048,liquid
2.157463e6,398.15,0.0002055,liquid
2.44872e6,398.15,0.0002066,liquid
2.941995e6,398.15,0.0002084,liquid
3.432327e6,398.15,0.00021,liquid
3.92266e6,398.15,0.0002118,liquid
4.903325e6,398.15,0.000215,liquid
5.88399e6,398.15,0.0002186,liquid
7.84532e6,398.15,0.0002254,liquid
9.806649e6,398.15,0.0002313,liquid
1.470997e7,398.15,0.0002494,liquid
1.96133e7,398.15,0.0002661,liquid
2.451663e7,398.15,0.0002838,liquid
2.941995e7,398.15,0.000299,liquid
3.92266e7,398.15,0.0003321,liquid
4.903325e7,398.15,0.000365,liquid
490332.5,423.15,0.0001647,liquid
980665.0,423.15,0.0001661,liquid
1.470997e6,423.15,0.000168,liquid
1.96133e6,423.15,0.0001695,liquid
2.157463e6,423.15,0.0001704,liquid
2.44872e6,423.15,0.000172,liquid
2.941995e6,423.15,0.0001733,liquid
3.432327e6,423.15,0.000175,liquid
3.92266e6,423.15,0.0001766,liquid
4.903325e6,423.15,0.00018,liquid
5.88399e6,423.15,0.0001833,liquid
7.84532e6,423.15,0.0001898,liquid
9.806649e6,423.15,0.000196,liquid
1.470997e7,423.15,0.0002114,liquid
1.96133e7,423.15,0.0002265,liquid
2.451663e7,423.15,0.0002413,liquid
2.941995e7,423.15,0.0002562,liquid
3.92266e7,423.15,0.0002856,liquid
4.903325e7,423.15,0.000315,liquid
490332.5,448.15,0.0001348,liquid
980665.0,448.15,0.0001364,liquid
1.470997e6,448.15,0.0001375,liquid
1.96133e6,448.15,0.0001395,liquid
2.157463e6,448.15,0.0001405,liquid
2.44872e6,448.15,0.0001415,liquid
2.941995e6,448.15,0.0001429,liquid
3.432327e6,448.15,0.0001446,liquid
3.92266e6,448.15,0.0001461,liquid
4.903325e6,448.15,0.0001496,liquid
5.88399e6,448.15,0.0001528,liquid
7.84532e6,448.15,0.0001583,liquid
9.806649e6,448.15,0.0001648,liquid
1.470997e7,448.15,0.000179,liquid
1.96133e7,448.15,0.0001938,liquid
2.451663e7,448.15,0.000208,liquid
2.941995e7,448.15,0.0002186,liquid
3.92266e7,448.15,0.0002375,liquid
4.903325e7,448.15,0.00027,liquid
980665.0,473.15,0.00011195,liquid
1.470997e6,473.15,0.0001136,liquid
1.96133e6,473.15,0.0001152,liquid
2.157463e6,473.15,0.0001155,liquid
2.44872e6,473.15,0.0001168,liquid
2.941995e6,473.15,0.0001185,liquid
3.432327e6,473.15,0.0001203,liquid
3.92266e6,473.15,0.0001217,liquid
4.903325e6,473.15,0.0001247,liquid
5.88399e6,473.15,0.0001279,liquid
7.84532e6,473.15,0.0001339,liquid
9.806649e6,473.15,0.0001397,liquid
1.470997e7,473.15,0.0001525,liquid
1.96133e7,473.15,0.0001645,liquid
2.451663e7,473.15,0.0001762,liquid
2.941995e7,473.15,0.0001873,liquid
3.92266e7,473.15,0.0002095,liquid
4.903325e7,473.15,0.0002308,liquid
980665.0,498.15,8.86e-5,liquid
1.470997e6,498.15,9.054e-5,liquid
1.96133e6,498.15,9.26e-5,liquid
2.157463e6,498.15,9.36e-5,liquid
2.44872e6,498.15,9.45e-5,liquid
2.941995e6,498.15,9.66e-5,liquid
3.432327e6,498.15,9.85e-5,liquid
3.92266e6,498.15,0.0001004,liquid
4.903325e6,498.15,0.0001037,liquid
5.88399e6,498.15,0.0001068,liquid
7.84532e6,498.15,0.000113,liquid
9.806649e6,498.15,0.0001192,liquid
1.470997e7,498.15,0.0001321,liquid
1.96133e7,498.15,0.0001436,liquid
2.451663e7,498.15,0.0001546,liquid
2.941995e7,498.15,0.0001649,liquid
3.92266e7,498.15,0.0001847,liquid
4.903325e7,498.15,0.000205,liquid
1.470997e6,523.15,7.08e-5,liquid
1.96133e6,523.15,7.29e-5,liquid
2.157463e6,523.15,7.38e-5,liquid
2.44872e6,523.15,7.51e-5,liquid
2.941995e6,523.15,7.11e-5,liquid
3.432327e6,523.15,7.5e-5,liquid
3.92266e6,523.15,8.1e-5,liquid
4.903325e6,523.15,8.41e-5,liquid
5.88399e6,523.15,8.81e-5,liquid
7.84532e6,523.15,9.45e-5,liquid
9.806649e6,523.15,0.0001006,liquid
1.470997e7,523.15,0.0001139,liquid
1.96133e7,523.15,0.0001259,liquid
2.451663e7,523.15,0.0001353,liquid
2.941995e7,523.15,0.0001451,liquid
3.92266e7,523.15,0.0001645,liquid
4.903325e7,523.15,0.0001822,liquid
100000.0,298.15,0.00051,liquid
2.09e7,298.15,0.000631,liquid
4.06e7,298.15,0.000753,liquid
6.09e7,298.15,0.000889,liquid
8.0e7,298.15,0.00104,liquid
8.01e7,298.15,0.00103,liquid
1.003e8,298.15,0.00119,liquid
1.201e8,298.15,0.00136,liquid
1.397e8,298.15,0.001555,liquid
1.399e8,298.15,0.00155,liquid
1.595e8,298.15,0.00175,liquid
1.796e8,298.15,0.00198,liquid
1.972e8,298.15,0.00221,liquid
100000.0,323.15,0.000387,liquid
100000.0,323.15,0.000387,liquid
2.01e7,323.15,0.000477,liquid
4.0e7,323.15,0.00057,liquid
6.06e7,323.15,0.000672,liquid
8.01e7,323.15,0.000778,liquid
8.01e7,323.15,0.000781,liquid
1.01e8,323.15,0.000897,liquid
1.203e8,323.15,0.00101,liquid
1.415e8,323.15,0.00115,liquid
1.416e8,323.15,0.00115,liquid
1.603e8,323.15,0.00128,liquid
1.807e8,323.15,0.00144,liquid
2.018e8,323.15,0.00161,liquid
100000.0,348.15,0.000304,liquid
100000.0,348.15,0.000304,liquid
2.04e7,348.15,0.000381,liquid
4.08e7,348.15,0.000457,liquid
6.07e7,348.15,0.000534,liquid
8.01e7,348.15,0.000614,liquid
8.01e7,348.15,0.000614,liquid
1.01e8,348.15,0.000706,liquid
1.204e8,348.15,0.000794,liquid
1.402e8,348.15,0.000893,liquid
1.403e8,348.15,0.000892,liquid
1.607e8,348.15,0.000997,liquid
1.808e8,348.15,0.00111,liquid
2.019e8,348.15,0.00123,liquid
100000.0,373.15,0.000245,liquid
2.06e7,373.15,0.000312,liquid
3.99e7,373.15,0.000373,liquid
6.0e7,373.15,0.000437,liquid
8.02e7,373.15,0.000503,liquid
1.011e8,373.15,0.000576,liquid
1.2e8,373.15,0.000645,liquid
1.409e8,373.15,0.000726,liquid
1.603e8,373.15,0.000804,liquid
1.805e8,373.15,0.00089,liquid
2.009e8,373.15,0.000981,liquid
2.16e7,398.15,0.000263,liquid
2.16e7,398.15,0.000265,liquid
4.2e7,398.15,0.00032,liquid
7.94e7,398.15,0.000426,liquid
8.09e7,398.15,0.00043,liquid
1.209e8,398.15,0.00055,liquid
1.595e8,398.15,0.000674,liquid
1.602e8,398.15,0.000676,liquid
1.923e8,398.15,0.000786,liquid
2.14e7,423.15,0.000226,liquid
2.14e7,423.15,0.000226,liquid
4.11e7,423.15,0.000276,liquid
8.04e7,423.15,0.000372,liquid
8.07e7,423.15,0.000372,liquid
1.215e8,423.15,0.000476,liquid
1.597e8,423.15,0.000581,liquid
1.613e8,423.15,0.000587,liquid
1.925e8,423.15,0.000676,liquid
2.1e7,448.15,0.000192,liquid
2.1e7,448.15,0.000192,liquid
4.12e7,448.15,0.000239,liquid
8.05e7,448.15,0.000324,liquid
8.14e7,448.15,0.000326,liquid
1.215e8,448.15,0.000414,liquid
1.594e8,448.15,0.000504,liquid
1.603e8,448.15,0.000504,liquid
1.93e8,448.15,0.000585,liquid
1.93e7,473.15,0.000163,liquid
2.0e7,473.15,0.000164,liquid
4.11e7,473.15,0.00021,liquid
8.11e7,473.15,0.000289,liquid
8.15e7,473.15,0.000289,liquid
1.211e8,473.15,0.000367,liquid
1.607e8,473.15,0.000448,liquid
1.613e8,473.15,0.000449,liquid
1.934e8,473.15,0.000516,liquid
3.1e6,303.2,0.0004913,liquid
3.1e6,313.3,0.0004426,liquid
3.1e6,323.2,0.0003961,liquid
3.1e6,333.2,0.0003634,liquid
3.1e6,343.2,0.0003311,liquid
3.1e6,353.1,0.0003013,liquid
3.1e6,363.2,0.0002765,liquid
3.1e6,373.3,0.000254,liquid
3.1e6,383.0,0.000234,liquid
3.1e6,393.1,0.0002205,liquid
3.1e6,403.2,0.0002019,liquid
3.1e6,413.2,0.0001905,liquid
3.1e6,423.2,0.0001761,liquid
3.1e6,433.1,0.0001643,liquid
3.1e6,443.2,0.0001526,liquid
3.1e6,453.1,0.0001417,liquid
3.1e6,463.2,0.0001321,liquid
3.1e6,473.1,0.0001228,liquid
3.1e6,483.1,0.0001138,liquid
3.1e6,493.1,0.0001068,liquid
3.1e6,503.0,9.93e-5,liquid
3.1e6,513.2,9.01e-5,liquid
3.1e6,523.3,8.25e-5,liquid
3.1e6,533.4,7.53e-5,liquid
3.1e6,543.4,6.78e-5,liquid
3.1e6,553.4,6.07e-5,liquid
3.1e6,563.3,5.32e-5,liquid
3.1e6,573.3,4.44e-5,liquid
3.1e6,583.1,3.25e-5,liquid
3.1e6,303.2,0.0004948,liquid
3.1e6,313.3,0.0004431,liquid
3.1e6,323.2,0.0003979,liquid
3.1e6,333.2,0.0003617,liquid
3.1e6,343.2,0.0003308,liquid
3.1e6,353.1,0.0003032,liquid
3.1e6,363.2,0.0002775,liquid
3.1e6,373.3,0.000258,liquid
3.1e6,383.0,0.0002379,liquid
3.1e6,393.1,0.0002202,liquid
3.1e6,403.2,0.000204,liquid
3.1e6,413.2,0.0001902,liquid
3.1e6,423.2,0.0001775,liquid
3.1e6,433.1,0.0001642,liquid
3.1e6,443.2,0.0001514,liquid
3.1e6,453.1,0.0001428,liquid
3.1e6,463.2,0.0001318,liquid
3.1e6,473.1,0.0001241,liquid
3.1e6,483.1,0.0001152,liquid
3.1e6,493.1,0.0001072,liquid
3.1e6,503.0,9.83e-5,liquid
3.1e6,513.2,9.04e-5,liquid
3.1e6,523.3,8.26e-5,liquid
3.1e6,533.4,7.51e-5,liquid
3.1e6,543.4,6.78e-5,liquid
3.1e6,553.4,6.09e-5,liquid
3.1e6,563.3,5.34e-5,liquid
3.1e6,573.3,4.46e-5,liquid
3.1e6,583.1,3.23e-5,liquid
1.62026e6,303.15,0.0004981,liquid
7.41873e6,303.15,0.0005364,liquid
1.8471e7,303.15,0.0005953,liquid
3.48529e7,303.15,0.0006924,liquid
4.93318e7,303.15,0.0007802,liquid
7.03745e7,303.15,0.0009222,liquid
8.46328e7,303.15,0.0010226,liquid
1.04634e8,303.15,0.0011777,liquid
1.18789e8,303.15,0.0012923,liquid
1.38688e8,303.15,0.0014599,liquid
1.59475e8,303.15,0.00165,liquid
1.72982e8,303.15,0.0017964,liquid
1.93997e8,303.15,0.0020262,liquid
2.14357e8,303.15,0.0022945,liquid
2.28491e8,303.15,0.002488,liquid
2.43384e8,303.15,0.0027262,liquid
1.74437e6,323.15,0.0004082,liquid
8.01857e6,323.15,0.0004355,liquid
1.84227e7,323.15,0.0004818,liquid
3.3143e7,323.15,0.0005519,liquid
4.87458e7,323.15,0.0006302,liquid
7.00298e7,323.15,0.0007435,liquid
8.43571e7,323.15,0.0008246,liquid
1.04697e8,323.15,0.0009469,liquid
1.26243e8,323.15,0.0010904,liquid
1.45313e8,323.15,0.0012259,liquid
1.66335e8,323.15,0.0013835,liquid
1.87654e8,323.15,0.0015585,liquid
2.08324e8,323.15,0.0017237,liquid
2.28698e8,323.15,0.0019288,liquid
2.52623e8,323.15,0.002161,liquid
1.11695e7,419.15,0.0001999,liquid
2.18563e7,419.15,0.0002296,liquid
4.24026e7,419.15,0.000281,liquid
5.96325e7,419.15,0.0003314,liquid
7.58421e7,419.15,0.0003707,liquid
8.7639e7,419.15,0.000404,liquid
1.05186e8,419.15,0.0004533,liquid
1.25181e8,419.15,0.000502,liquid
1.46396e8,419.15,0.0005586,liquid
1.67363e8,419.15,0.0006181,liquid
1.88261e8,419.15,0.0006788,liquid
2.08497e8,419.15,0.0007343,liquid
2.29595e8,419.15,0.0008136,liquid
2.48948e8,419.15,0.0008721,liquid
2.18563e7,520.15,0.0001352,liquid
3.08195e7,520.15,0.0001501,liquid
4.29818e7,520.15,0.0001731,liquid
5.82191e7,520.15,0.0001979,liquid
7.18431e7,520.15,0.0002214,liquid
9.61471e7,520.15,0.0002625,liquid
1.18396e8,520.15,0.0003098,liquid
1.45644e8,520.15,0.0003542,liquid
1.73141e8,520.15,0.0004024,liquid
2.00926e8,520.15,0.0004498,liquid
4.01e7,296.15,0.00074,liquid
