p,T,viscosity,Phase
689473.30,310.93,0.0002018,liquid
1.38E+06,310.93,0.0002028,liquid
2.07E+06,310.93,0.0002043,liquid
2.76E+06,310.93,0.0002056,liquid
3.45E+06,310.93,0.000207,liquid
4.14E+06,310.93,0.0002081,liquid
5.52E+06,310.93,0.0002109,liquid
6.89E+06,310.93,0.0002133,liquid
8.62E+06,310.93,0.000217,liquid
1.03E+07,310.93,0.00022,liquid
1.21E+07,310.93,0.0002239,liquid
1.38E+07,310.93,0.000227,liquid
1.72E+07,310.93,0.0002339,liquid
2.07E+07,310.93,0.0002405,liquid
2.41E+07,310.93,0.0002471,liquid
2.76E+07,310.93,0.0002535,liquid
3.10E+07,310.93,0.0002602,liquid
3.45E+07,310.93,0.000267,liquid
4.14E+07,310.93,0.00028,liquid
4.83E+07,310.93,0.000293,liquid
5.52E+07,310.93,0.000306,liquid
689473.3,327.59,0.0001725,liquid
1.38E+06,327.59,0.000174,liquid
2.07E+06,327.59,0.0001758,liquid
2.76E+06,327.59,0.000177,liquid
3.45E+06,327.59,0.0001786,liquid
4.14E+06,327.59,0.00018,liquid
5.52E+06,327.59,0.000183,liquid
6.89E+06,327.59,0.000186,liquid
8.62E+06,327.59,0.0001895,liquid
1.03E+07,327.59,0.000193,liquid
1.21E+07,327.59,0.0001966,liquid
1.38E+07,327.59,0.0002,liquid
1.72E+07,327.59,0.0002072,liquid
2.07E+07,327.59,0.000214,liquid
2.41E+07,327.59,0.000221,liquid
2.76E+07,327.59,0.0002283,liquid
3.10E+07,327.59,0.0002345,liquid
3.45E+07,327.59,0.0002412,liquid
4.14E+07,327.59,0.000254,liquid
4.83E+07,327.59,0.0002656,liquid
5.52E+07,327.59,0.0002775,liquid
689473.3,344.26,0.000151,liquid
1.38E+06,344.26,0.0001523,liquid
2.07E+06,344.26,0.0001535,liquid
2.76E+06,344.26,0.000155,liquid
3.45E+06,344.26,0.000156,liquid
4.14E+06,344.26,0.0001575,liquid
5.52E+06,344.26,0.0001601,liquid
6.89E+06,344.26,0.0001629,liquid
8.62E+06,344.26,0.0001663,liquid
1.03E+07,344.26,0.00017,liquid
1.21E+07,344.26,0.0001733,liquid
1.38E+07,344.26,0.000177,liquid
1.72E+07,344.26,0.000184,liquid
2.07E+07,344.26,0.0001911,liquid
2.41E+07,344.26,0.000198,liquid
2.76E+07,344.26,0.000205,liquid
3.10E+07,344.26,0.000212,liquid
3.45E+07,344.26,0.0002185,liquid
4.14E+07,344.26,0.000232,liquid
4.83E+07,344.26,0.0002455,liquid
5.52E+07,344.26,0.000259,liquid
689473.3,360.93,0.0001315,liquid
1.38E+06,360.93,0.000133,liquid
2.07E+06,360.93,0.0001345,liquid
2.76E+06,360.93,0.000136,liquid
3.45E+06,360.93,0.0001375,liquid
4.14E+06,360.93,0.0001388,liquid
5.52E+06,360.93,0.0001418,liquid
6.89E+06,360.93,0.0001445,liquid
8.62E+06,360.93,0.000148,liquid
1.03E+07,360.93,0.000151,liquid
1.21E+07,360.93,0.000155,liquid
1.38E+07,360.93,0.000158,liquid
1.72E+07,360.93,0.0001655,liquid
2.07E+07,360.93,0.000172,liquid
2.41E+07,360.93,0.000179,liquid
2.76E+07,360.93,0.0001855,liquid
3.10E+07,360.93,0.0001925,liquid
3.45E+07,360.93,0.000199,liquid
4.14E+07,360.93,0.000211,liquid
4.83E+07,360.93,0.000223,liquid
5.52E+07,360.93,0.000234,liquid
1.38E+06,377.59,0.000116,liquid
2.07E+06,377.59,0.0001175,liquid
2.76E+06,377.59,0.000119,liquid
3.45E+06,377.59,0.0001205,liquid
4.14E+06,377.59,0.0001222,liquid
5.52E+06,377.59,0.0001254,liquid
6.89E+06,377.59,0.000128,liquid
8.62E+06,377.59,0.000131,liquid
1.03E+07,377.59,0.000134,liquid
1.21E+07,377.59,0.0001375,liquid
1.38E+07,377.59,0.000141,liquid
1.72E+07,377.59,0.000148,liquid
2.07E+07,377.59,0.000155,liquid
2.41E+07,377.59,0.000162,liquid
2.76E+07,377.59,0.0001695,liquid
3.10E+07,377.59,0.0001755,liquid
3.45E+07,377.59,0.0001813,liquid
4.14E+07,377.59,0.000193,liquid
4.83E+07,377.59,0.000204,liquid
5.52E+07,377.59,0.000215,liquid
1.38E+06,394.26,0.0001,liquid
2.07E+06,394.26,0.0001019,liquid
2.76E+06,394.26,0.0001035,liquid
3.45E+06,394.26,0.0001052,liquid
4.14E+06,394.26,0.000107,liquid
5.52E+06,394.26,0.00011,liquid
6.89E+06,394.26,0.000113,liquid
8.62E+06,394.26,0.000117,liquid
1.03E+07,394.26,0.00012,liquid
1.21E+07,394.26,0.0001242,liquid
1.38E+07,394.26,0.0001275,liquid
1.72E+07,394.26,0.0001345,liquid
2.07E+07,394.26,0.000141,liquid
2.41E+07,394.26,0.0001472,liquid
2.76E+07,394.26,0.0001535,liquid
3.10E+07,394.26,0.000159,liquid
3.45E+07,394.26,0.000165,liquid
4.14E+07,394.26,0.000176,liquid
4.83E+07,394.26,0.0001865,liquid
5.52E+07,394.26,0.000197,liquid
1.38E+06,410.93,8.50E-05,liquid
2.07E+06,410.93,8.72E-05,liquid
2.76E+06,410.93,8.95E-05,liquid
3.45E+06,410.93,9.10E-05,liquid
4.14E+06,410.93,9.35E-05,liquid
5.52E+06,410.93,9.67E-05,liquid
6.89E+06,410.93,0.0001,liquid
8.62E+06,410.93,0.0001036,liquid
1.03E+07,410.93,0.0001075,liquid
1.21E+07,410.93,0.0001111,liquid
1.38E+07,410.93,0.0001148,liquid
1.72E+07,410.93,0.0001221,liquid
2.07E+07,410.93,0.000129,liquid
2.41E+07,410.93,0.000136,liquid
2.76E+07,410.93,0.0001418,liquid
3.10E+07,410.93,0.000148,liquid
3.45E+07,410.93,0.000153,liquid
4.14E+07,410.93,0.000162,liquid
4.83E+07,410.93,0.0001722,liquid
5.52E+07,410.93,0.0001825,liquid
2.07E+06,427.59,7.45E-05,liquid
