p,T,Viscosity
100000,140,0.00084215
100000,150,0.00065774
100000,160,0.00053205
100000,170,0.00044189
100000,180,0.0003745
100000,190,0.00032241
100000,200,0.00028101
100000,210,0.00024733
100000,220,0.00021936
100000,230,0.00019573
500000,140,0.0008457
500000,150,0.00066047
500000,160,0.00053424
500000,170,0.0004437
500000,180,0.00037604
500000,190,0.00032376
500000,200,0.00028221
500000,210,0.00024842
500000,220,0.00022036
500000,230,0.00019667
500000,240,0.00017633
500000,250,0.00015863
500000,260,0.00014303
500000,270,0.00012908
1000000,140,0.00085015
1000000,150,0.00066387
1000000,160,0.00053697
1000000,170,0.00044596
1000000,180,0.00037797
1000000,190,0.00032544
1000000,200,0.00028371
1000000,210,0.00024977
1000000,220,0.00022161
1000000,230,0.00019783
1000000,240,0.00017744
1000000,250,0.00015969
1000000,260,0.00014406
1000000,270,0.0001301
1000000,280,0.00011749
1000000,290,0.00010594
1000000,300,0.0000952
1500000,140,0.0008546
1500000,150,0.00066728
1500000,160,0.0005397
1500000,170,0.00044823
1500000,180,0.0003799
1500000,190,0.00032712
1500000,200,0.00028521
1500000,210,0.00025113
1500000,220,0.00022286
1500000,230,0.00019899
1500000,240,0.00017853
1500000,250,0.00016075
1500000,260,0.00014508
1500000,270,0.00013111
1500000,280,0.00011851
1500000,290,0.00010698
1500000,300,0.00009628
2000000,140,0.00085906
2000000,150,0.00067069
2000000,160,0.00054243
2000000,170,0.00045049
2000000,180,0.00038183
2000000,190,0.0003288
2000000,200,0.0002867
2000000,210,0.00025248
2000000,220,0.0002241
2000000,230,0.00020015
2000000,240,0.00017963
2000000,250,0.0001618
2000000,260,0.0001461
2000000,270,0.00013212
2000000,280,0.00011951
2000000,290,0.000108
2000000,300,0.00009735
2000000,320,0.00007772
2500000,140,0.00086351
2500000,150,0.00067411
2500000,160,0.00054516
2500000,170,0.00045275
2500000,180,0.00038375
2500000,190,0.00033048
2500000,200,0.00028819
2500000,210,0.00025383
2500000,220,0.00022534
2500000,230,0.0002013
2500000,240,0.00018072
2500000,250,0.00016284
2500000,260,0.00014711
2500000,270,0.00013311
2500000,280,0.0001205
2500000,290,0.00010901
2500000,300,0.0000984
2500000,320,0.00007895
2500000,340,0.00005999
3000000,140,0.00086797
3000000,150,0.00067752
3000000,160,0.00054789
3000000,170,0.00045501
3000000,180,0.00038567
3000000,190,0.00033215
3000000,200,0.00028968
3000000,210,0.00025517
3000000,220,0.00022657
3000000,230,0.00020245
3000000,240,0.0001818
3000000,250,0.00016388
3000000,260,0.00014812
3000000,270,0.0001341
3000000,280,0.00012149
3000000,290,0.00011001
3000000,300,0.00009943
