p,T,viscosity,Phase
2010000,298.15,0.002286,liquid
4010000,298.15,0.002339,liquid
6000000,298.15,0.002392,liquid
8010000,298.15,0.002446,liquid
10000000,298.15,0.002499,liquid
13000000,298.15,0.002579,liquid
16010000,298.15,0.00266,liquid
19010000,298.15,0.00274,liquid
22000000,298.15,0.00282,liquid
24990000,298.15,0.002899,liquid
28010000,298.15,0.00298,liquid
31010000,298.15,0.00306,liquid
35000000,298.15,0.003167,liquid
38990000,298.15,0.003273,liquid
42990000,298.15,0.00338,liquid
47000000,298.15,0.003487,liquid
50010000,298.15,0.003567,liquid
2000000,303.16,0.00206,liquid
4000000,303.16,0.002108,liquid
6010000,303.16,0.002156,liquid
8010000,303.16,0.002204,liquid
10010000,303.16,0.002252,liquid
13010000,303.16,0.002324,liquid
15990000,303.16,0.002396,liquid
18990000,303.16,0.002468,liquid
22000000,303.16,0.002541,liquid
25000000,303.16,0.002613,liquid
28010000,303.16,0.002685,liquid
30990000,303.16,0.002757,liquid
34990000,303.16,0.002853,liquid
39010000,303.16,0.00295,liquid
43010000,303.16,0.003046,liquid
47000000,303.16,0.003142,liquid
50000000,303.16,0.003214,liquid
1990000,313.15,0.001697,liquid
4000000,313.15,0.001737,liquid
6000000,313.15,0.001776,liquid
8000000,313.15,0.001816,liquid
10000000,313.15,0.001855,liquid
13010000,313.15,0.001915,liquid
16010000,313.15,0.001975,liquid
19000000,313.15,0.002034,liquid
21990000,313.15,0.002093,liquid
25010000,313.15,0.002153,liquid
28010000,313.15,0.002212,liquid
31000000,313.15,0.002272,liquid
35000000,313.15,0.002351,liquid
39000000,313.15,0.00243,liquid
43000000,313.15,0.002509,liquid
47000000,313.15,0.002589,liquid
50000000,313.15,0.002648,liquid
1990000,333.15,0.001218,liquid
4000000,333.15,0.001247,liquid
6000000,333.15,0.001275,liquid
7990000,333.15,0.001303,liquid
10000000,333.15,0.001332,liquid
13000000,333.15,0.001375,liquid
16000000,333.15,0.001417,liquid
19000000,333.15,0.00146,liquid
21990000,333.15,0.001503,liquid
25000000,333.15,0.001545,liquid
28000000,333.15,0.001588,liquid
31010000,333.15,0.001631,liquid
35010000,333.15,0.001688,liquid
39000000,333.15,0.001745,liquid
43000000,333.15,0.001801,liquid
47000000,333.15,0.001858,liquid
50000000,333.15,0.001901,liquid
2000000,353.15,0.000919,liquid
4000000,353.15,0.00094,liquid
6000000,353.15,0.000961,liquid
7990000,353.15,0.000983,liquid
