p,T,viscosity
3514900,290,0.00004446
5410900,290,0.00005052
7266400,290,0.0000546
9268200,290,0.0000578
11205900,290,0.00006116
14880900,290,0.00006633
17690700,290,0.00006949
20466100,290,0.00007265
23903500,290,0.00007659
27327400,290,0.00008038
30343100,290,0.00008331
1301700,250,0.00007849
3426900,250,0.00008187
6296600,250,0.0000859
9123900,250,0.00008975
11712100,250,0.00009393
15158700,250,0.00009725
17052100,250,0.00009897
20658300,250,0.00010451
23703200,250,0.00010641
24208800,250,0.00010665
27147800,250,0.00010988
299800,200,0.00013849
2562300,200,0.00014127
5232900,200,0.00014545
7644400,200,0.00014953
11165300,200,0.00015405
14589800,200,0.00015833
15918500,200,0.00016074
19396000,200,0.00016438
22714100,200,0.00016775
26169800,200,0.00017304
29623500,200,0.00017663
2665300,150,0.00027859
6029600,150,0.00028472
8755500,150,0.00028933
11565900,150,0.00029458
14344200,150,0.00030124
17034600,150,0.00030133
20043100,150,0.00031274
22912800,150,0.00031801
25182700,150,0.00032121
2040800,130,0.0004001
5242600,130,0.00040511
7877600,130,0.00041391
11069400,130,0.00042465
14451300,130,0.00044549
18283100,130,0.00044096
21441600,130,0.00044888
24915700,130,0.00045702
28122900,130,0.00047389
31980500,130,0.00047871
2057400,120,0.00049261
4982500,120,0.00050132
7814700,120,0.00051201
11300600,120,0.00052845
14810000,120,0.00053603
18395200,120,0.00055265
19749900,120,0.00055698
23228900,120,0.0005714
26917000,120,0.00058743
30379800,120,0.00059952
1479400,110,0.00064378
3900100,110,0.00065939
6522000,110,0.00067532
9356900,110,0.00067932
12728100,110,0.00070135
16225900,110,0.00071628
19504500,110,0.00073353
21232900,110,0.00075008
25259900,110,0.00077174
28649900,110,0.00078582
32108500,110,0.00078892
3273700,100,0.0009065
7203700,100,0.00093196
11018500,100,0.00097122
15432000,100,0.0009999
18957700,100,0.0010258
22179900,100,0.0010464
22203400,100,0.0010478
24357800,100,0.001076
27870600,100,0.0011063
31549200,100,0.0011302
1961330,258.15,0.0000683
2941995,258.15,0.0000697
3922660,258.15,0.0000711
4903325,258.15,0.0000725
5883990,258.15,0.0000738
6864655,258.15,0.000075
7845320,258.15,0.0000763
9806649,258.15,0.0000788
12258310,258.15,0.0000817
14709970,258.15,0.0000846
19613300,258.15,0.00009
29419950,258.15,0.0001006
39226600,258.15,0.0001105
49033250,258.15,0.00012
58839900,258.15,0.000129
68646550,258.15,0.0001372
78453200,258.15,0.000145
2941995,273.15,0.00005525
3922660,273.15,0.0000574
4903325,273.15,0.0000594
5883990,273.15,0.0000609
6864655,273.15,0.0000625
7845320,273.15,0.000064
9806649,273.15,0.00006675
12258310,273.15,0.00006978
14709970,273.15,0.0000729
19613300,273.15,0.0000787
29419950,273.15,0.0000889
39226600,273.15,0.0000982
49033250,273.15,0.000107
58839900,273.15,0.0001153
68646550,273.15,0.000123
78453200,273.15,0.0001306
3922660,294.15,0.0000409
4903325,294.15,0.00004409
5883990,294.15,0.0000465
6864655,294.15,0.00004852
7845320,294.15,0.00005035
9806649,294.15,0.00005371
12258310,294.15,0.00005711
14709970,294.15,0.00006025
19613300,294.15,0.00006617
29419950,294.15,0.00007609
39226600,294.15,0.00008487
49033250,294.15,0.0000931
58839900,294.15,0.0001007
68646550,294.15,0.0001079
78453200,294.15,0.000115
4903325,304.65,0.0000309
5883990,304.65,0.00003709
6864655,304.65,0.00004078
7845320,304.65,0.0000436
9806649,304.65,0.00004785
12258310,304.65,0.00005165
14709970,304.65,0.00005487
19613300,304.65,0.00006049
29419950,304.65,0.0000702
39226600,304.65,0.00007903
49033250,304.65,0.0000872
58839900,304.65,0.0000947
68646550,304.65,0.0001019
78453200,304.65,0.0001084
4383671,299.81,0.000035158
4383671,299.81,0.000035244
5792265,299.81,4.2598E-05
5808813,299.81,0.000042694
7120880,299.81,0.000046816
7133980,299.81,4.6495E-05
7133980,299.81,0.000046395
7231886,299.81,0.000047357
7231886,299.81,0.000047381
8924543,299.81,5.056E-05
8932127,299.81,5.1503E-05
8932127,299.81,0.000051374
10662700,299.81,5.4544E-05
10685460,299.81,0.000054486
14805060,299.81,0.000060557
14805060,299.81,0.000060548
14811960,299.81,6.0553E-05
21109600,299.81,6.8347E-05
21111670,299.81,0.000068505
27829900,299.81,0.000075371
27843000,299.81,7.539E-05
31459290,299.81,0.000079091
31459290,299.81,7.8938E-05
35771940,299.81,8.2802E-05
35816760,299.81,8.2907E-05
35816760,299.81,8.3362E-05
4861476,305.37,0.000018453
4861476,305.37,0.000018342
4861476,305.37,0.000018333
5219313,305.37,0.000033764
5230344,305.37,0.00003374
6129417,305.37,0.000039021
6132176,305.37,0.000039093
7168454,305.37,4.2837E-05
7174659,305.37,0.000042861
8772858,305.37,0.000046897
8778374,305.37,0.000047017
8778374,305.37,0.000047032
11,100,0.00087602
355,120,0.00048651
3830,140,0.00032216
21450,160,0.00023245
78720,180,0.00017574
217400,200,0.00013673
492300,220,0.00010824
700500,230,0.00009662
967100,240,0.00008627
1301200,250,0.00007691
1712000,260,0.00006829
2209700,270,0.00006017
2805800,280,0.00005228
3514400,290,0.00004419
3916900,295,0.00003977
4356000,300,0.00003463
4543200,302,0.00003209
4737700,304,0.00002885
